KABR,ABERDEEN,416.9
KENX,ALBANY,576.6
KABX,ALBUQUERQUE,1809.2
KFDR,ALTUS AFB,396.2
KAMA,AMARILLO,1113.3
PAHG,ANCHORAGE FAA ,103.8
PGUA,ANDERSEN AFB,110.5
KFFC,ATLANTA,291.5
KEWX,AUSTIN/SAN ANTONIO,217.9
KBBX,BEALE AFB,62.7
PABC,BETHEL FAA ,54.1
KBLX,BILLINGS,1111.7
KBGM,BINGHAMTON,514.5
KBMX,BIRMINGHAM,226.6
KBIS,BISMARCK,530.4
KCBX,BOISE,953.0
KBOX,BOSTON,66.0
KOKX,BROOKHAVEN,55.9
KBRO,BROWNSVILLE,22.0
KBUF,BUFFALO,236.2
KCXX,BURLINGTON,126.6
RKSG,CAMP HUMPHREYS,35.9
KFDX,CANNON AFB,1427.3
KCBW,CARIBOU,257.4
KICX,CEDAR CITY ,3260.9
KCLX,CHARLESTON SC,59.6
KRLX,CHARLESTON WV,359.2
KCYS,CHEYENNE,1882.8
KLOT,CHICAGO,227.1
KILN,CINCINNATI,351.9
KCLE,CLEVELAND,257.6
KCAE,COLUMBIA,100.4
KGWX,COLUMBUS AFB,165.1
KCRP,CORPUS CHRISTI,38.7
KFWS,DALLAS/FT WORTH,228.2
KFTG,DENVER,1705.5
KDMX,DES MOINES,329.0
KDTX,DETROIT,356.8
KDDC,DODGE CITY,809.4
KDOX,DOVER AFB,45.2
KDLH,DULUTH,465.2
KDYX,DYESS AFB,477.4
KEYX,EDWARDS AFB,865.3
KEVX,EGLIN AFB,62.7
KEPZ,EL PASO,1280.9
KLRX,ELKO ,2085.6
KBHX,EUREKA (BUNKER HILL),762.1
KVWX,EVANSVILLE (NON-NEXRAD),217.2
PAPD,FAIRBANKS FAA ,820.4
KMVX,FARGO/GRAND FORKS,325.5
KFSX,FLAGSTAFF (RDA 1),2285.7
KFSX,FLAGSTAFF (RDA 2),2285.7
KHPX,FT CAMPBELL,185.6
KTYX,FT DRUM,592.7
KGRK,FT HOOD,179.0
KPOE,FT POLK,139.4
KEOX,FT RUCKER,147.3
KGGW,GLASGOW,713.7
KGLD,GOODLAND,1127.8
KUEX,GRAND ISLAND,622.3
KGJX,GRAND JUNCTION ,3060.3
KGRR,GRAND RAPIDS,262.1
KTFX,GREAT FALLS,1147.0
KGRB,GREEN BAY,232.9
KGSP,GREER,316.5
KHDX,HOLLOMAN AFB,1296.9
KHGX,HOUSTON,30.5
KIND,INDIANAPOLIS,265.8
KJKL,JACKSON KY,440.8
KDGX,JACKSON/BRANDON MS,180.9
KJAX,JACKSONVILLE,35.1
RODN,KADENA AB,96.5
PHKM,KAMUELA/KOHALA APT ,1191.9
KBIX,KEESLER AFB MNTC TRNG A,42.1
KBIX,KEESLER AFB MNTC TRNG B,42.1
