# radarInfo.txt
#
# Information about radar products.  Fields are:
#
# ID = product ID number
# Lvls = # of data levels
# Lyr = layer: 0, 1, 2, 3 = none, lo, med, high
# Resol = resolution in km
# Range = ?
# Mnemo = mnemonic, duh. (or 'Finding Mnemo.')
# Name = label used in user interface.
# Formatted Name = a label with formatting placeholders and a special format for modes.
#    Mode format: MODE=<MODE>:<Name>[;MODE=<MODE>:<NAME>...]
#    Formatting Placeholders: {S} site, {T} tilt, {B} bit, {U} unit, {Sg} segment, {H} hours,
#        {P} page, {P#} page count, or {Ctp} cell trends point.
#       example: {S} {T} Reflectivity ({U}) would display something like 'koax 0.5 Reflectivity (dBZ)
# Formatted Abrev. Name = an abreviated form of the Formatted Name.  Used for blended products
# Format = format
# Elv = does elevation apply, boolean
# Alt = does altitude apply, boolean
# Azm = does azimuth/range apply, boolean
# Spd = does speed/direction apply, boolean (speed = 0.0-99.9)
# Dsp = Series of single character flags display code uses
#   V = Treat as velocity data, allow shear sampling and vrShear
#   Z = 16 bit data has predefined Storm/Clear dBZ ranges.
#   m = Apply multiplier to 8 bit style info. 
#       Leading number is default mult; V assumes default of 5.
#   S = Rescale existing data style info by scaling coefficients.
#       Multiply output of scaling coefficients by leading number, if present,
#       to get data values for image counts.
# X = does cross-section apply, boolean
# hrs = does hour/span apply, boolean
# bsp = does big speed/direction apply, boolean (speed = 0.0-999.9)
# mas = does map type and segment number apply, boolean
# aid = AWIPS ID (enumeration removed from Radar.H)
# dAz = Azimuth resolution in deg. Def to 1 for Radial 0 for others.
#
# All booleans must be "y" for true, anything else for false.
#
#ID|Lvls |Lyr|Resol |Range|Mnemo|Name                      |Formatted Name                                                                                                                                                                                         |Formatted Abrev. Name                                                                                                                           |Format |Elv|Alt|Azm|Spd|Dsp  |X  |hrs|bsp|mas|aid|unit
2  |0    |0  |0.0   |0    |GSM  |NEXRAD Unit Status Msg    |{S} NEXRAD Unit Status Msg                                                                                                                                                                             |{S} NUSM                                                                                                                                        |XY     |   |   |   |   |     |   |   |   |   |20 |   
3  |0    |0  |0.0   |0    |PRR  |Product Request Resp      |Product Request Resp                                                                                                                                                                                   |PRR                                                                                                                                             |PRR    |   |   |   |   |     |   |   |   |   |21 |   
6  |0    |0  |0.0   |0    |AAP  |Alert Adaptation Parms    |Alert Adaptation Parms                                                                                                                                                                                 |AAP                                                                                                                                             |AAP    |   |   |   |   |     |   |   |   |   |22 |   
8  |0    |0  |0.0   |0    |PTL  |Product List              |Product List                                                                                                                                                                                           |PTL                                                                                                                                             |PTL    |   |   |   |   |     |   |   |   |   |66 |   
9  |0    |0  |0.0   |0    |AM   |Alert Message             |Alert Message                                                                                                                                                                                          |AM                                                                                                                                              |AM     |   |   |   |   |     |   |   |   |   |38 |   
180|256  |0  |0.15  |90   |Z    |Reflectivity              |{S} {T} Reflectivity ({U}) {B}bit                                                                                                                                                                      |{S} {T} Z {B}bit                                                                                                                                |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ/10
181|16   |0  |0.15  |90   |Z    |Reflectivity              |{S} {T} Reflectivity ({U}) {B}bit                                                                                                                                                                      |{S} {T} Z {B}bit                                                                                                                                |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ
186|256  |0  |0.30  |460  |Z    |Long Range Refl           |{S} Long Rng Refl ({U}) {B}bit                                                                                                                                                                         |{S} {T} TDWR LR Z {B}bit                                                                                                                        |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ/10
187|16   |0  |0.30  |460  |Z    |Long Range Refl           |{S} Long Rng Refl ({U}) {B}bit                                                                                                                                                                         |{S} {T} TDWR LR Z {B}bit                                                                                                                        |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ
94 |256  |0  |1.0   |460  |Z    |Reflectivity              |{S} {T} Reflectivity ({U}) {B}bit                                                                                                                                                                      |{S} {T} Z {B}bit                                                                                                                                |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ/10
153|256  |0  |0.25  |460  |HZ   |Reflectivity              |{S} {T} Reflectivity ({U}) {B}bit                                                                                                                                                                      |{S} {T} Z {B}bit                                                                                                                                |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ/10
16 |8    |0  |1.0   |230  |Z    |Reflectivity              |{S} {T} Refl {B}bit ({U})                                                                                                                                                                              |{S} {T} Refl {B}                                                                                                                                |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ
17 |8    |0  |2.0   |460  |Z    |Reflectivity              |{S} {T} Refl {B}bit ({U})                                                                                                                                                                              |{S} {T} Refl {B}                                                                                                                                |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ
18 |8    |0  |4.0   |460  |Z    |Reflectivity              |{S} {T} Refl {B}bit ({U})                                                                                                                                                                              |{S} {T} Refl {B}                                                                                                                                |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ
19 |16   |0  |1.0   |230  |Z    |Reflectivity              |{S} {T} Reflectivity ({U}) {B}bit                                                                                                                                                                      |{S} {T} Z {B}bit                                                                                                                                |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ
20 |16   |0  |2.0   |460  |Z    |Reflectivity              |{S} {T} Reflectivity ({U}) {B}bit                                                                                                                                                                      |{S} {T} Z {B}bit                                                                                                                                |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ
21 |16   |0  |4.0   |460  |Z    |Reflectivity              |{S} {T} Reflectivity {B}bit ({U})                                                                                                                                                                      |{S} {T} Refl {B}                                                                                                                                |Radial |y  |   |   |   |Z    |   |   |   |   |0  |dBZ
99 |256  |0  |0.25  |300  |V    |Velocity                  |MODE=V:{S} {T} Velocity ({U}) {B}bit;MODE=SRM8:{S} {T} Storm Rel Vel {B}bit ({U})                                                                                                                      |MODE=V:{S} {T} V {B}bit;MODE=SRM8:{S} {T} SRM                                                                                                   |Radial |y  |   |   |   |Vm   |   |   |   |   |1  |(m/s)/10
154|256  |0  |0.25  |300  |HV   |Velocity                  |MODE=V:{S} {T} Velocity ({U}) {B}bit;MODE=SRM8:{S} {T} Storm Rel Vel {B}bit ({U})                                                                                                                      |MODE=V:{S} {T} V {B}bit;MODE=SRM8:{S} {T} SRM                                                                                                   |Radial |y  |   |   |   |Vm   |   |   |   |   |1  |(m/s)/10
182|256  |0  |0.15  |90   |V    |Velocity                  |MODE=V:{S} {T} Velocity ({U}) {B}bit;MODE=SRM8:{S} {T} Storm Rel Vel {B}bit ({U})                                                                                                                      |MODE=V:{S} {T} V {B}bit;MODE=SRM8:{S} {T} SRM                                                                                                   |Radial |y  |   |   |   |Vm   |   |   |   |   |1  |(m/s)/10
