#This file contains a user editable mapping of names that would be seen as part of data ingest to			
#more standardized CF (NetCDF Climate and Forecast) names.  The first list is taken directly from			
#the NetCDF Climate and Forecast (CF) Metadata Convention website and the entries that follow			
#are as needed additions based on what is being seen in data.  The third column is a listing 			
#of ontology names that map to the cf names.  This allows for updates and additions to both			
#the ontology and the CF list while maintaining the codes ability to generate ontology individuals.			
#note that the third column is case sensitive.			
			
#all values from http://cf-pcmdi.llnl.gov/documents/cf-standard-names/ncep-grib-code-cf-standard-name-mapping			
#NCEP 	#CF Name	#Ontology Axiom IRI	#Ontology Class IRI
PRES	air_pressure	http://wxsrv/ontology/weather.owl#hasBarometricPressure	http://wxsrv/ontology/weather.owl#BarometricPressure
PRMSL	air_pressure_at_sea_level	http://wxsrv/ontology/weather.owl#hasBarometricPressure	http://wxsrv/ontology/weather.owl#BarometricPressure
PTEND	tendency_of_air_pressure	http://wxsrv/ontology/weather.owl#hasBarometricPressure	http://wxsrv/ontology/weather.owl#BarometricPressure
ICAHT	standard_atmosphere_reference_height		
GP	geopotential	http://wxsrv/ontology/weather.owl#hasBarometricPressure	http://wxsrv/ontology/weather.owl#BarometricPressure
HGT	geopotential_height	http://wxsrv/ontology/weather.owl#hasBarometricPressure	http://wxsrv/ontology/weather.owl#BarometricPressure
DIST	altitude		
HSTDV	height_standard_deviation		
TOZNE	equivalent_thickness_at_stp_of_atmosphere_o3_content		
TMP	air_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
VTMP	virtual_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
POT	air_potential_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
EPOT	pseudo_equivalent_potential_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
T MAX	max_air_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
T MIN	min_air_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
DPT	dew_point_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
DEPR	dew_point_depression	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
LAPR	air_temperature_lapse_rate	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
VIS	visibility_in_air		
RDSP1	radar_spectra_1		
RDSP2	radar_spectra_2		
RDSP3	radar_spectra_3		
PLI	parcel_lifted_index		
TMP A	air_temperature_anomaly	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
PRESA	air_pressure_anomaly	http://wxsrv/ontology/weather.owl#hasBarometricPressure	http://wxsrv/ontology/weather.owl#BarometricPressure
GP A	geopotential_height_anomaly	http://wxsrv/ontology/weather.owl#hasBarometricPressure	http://wxsrv/ontology/weather.owl#BarometricPressure
WVSP1	wave_spectra_1		
WVSP2	wave_spectra_2		
WVSP3	wave_spectra_3		
WDIR	wind_from_direction	http://wxsrv/ontology/weather.owl#hasWindDirection	http://wxsrv/ontology/weather.owl#WindDirection
WIND	wind_speed	http://wxsrv/ontology/weather.owl#hasWindSpeed	http://wxsrv/ontology/weather.owl#WindSpeed
U GRD	eastward_wind	http://wxsrv/ontology/weather.owl#hasWindSpeed	http://wxsrv/ontology/weather.owl#WindSpeed
V GRD	northward_wind	http://wxsrv/ontology/weather.owl#hasWindSpeed	http://wxsrv/ontology/weather.owl#WindSpeed
STRM	atmosphere_horizontal_streamfunction		
V POT	atmosphere_horizontal_velocity_potential	http://wxsrv/ontology/weather.owl#hasWindSpeed	http://wxsrv/ontology/weather.owl#WindSpeed
MNTSF	montgomery_stream_function		
SGCVV	vertical_air_velocity_expressed_as_tendency_of_sigma	http://wxsrv/ontology/weather.owl#hasWindSpeed	http://wxsrv/ontology/weather.owl#WindSpeed
V VEL	vertical_air_velocity_expressed_as_tendency_of_pressure	http://wxsrv/ontology/weather.owl#hasWindSpeed	http://wxsrv/ontology/weather.owl#WindSpeed
DZDT	upward_air_velocity	http://wxsrv/ontology/weather.owl#hasWindSpeed	http://wxsrv/ontology/weather.owl#WindSpeed
ABS V	atmosphere_absolute_vorticity	http://wxsrv/ontology/weather.owl#hasWindShear	http://wxsrv/ontology/weather.owl#WindShear
ABS D	atmosphere_absolute_divergence		
REL V	atmosphere_relative_vorticity	http://wxsrv/ontology/weather.owl#hasWindShear	http://wxsrv/ontology/weather.owl#WindShear
REL D	divergence_of_wind	http://wxsrv/ontology/weather.owl#hasWindShear	http://wxsrv/ontology/weather.owl#WindShear
VUCSH	eastward_wind_shear	http://wxsrv/ontology/weather.owl#hasWindShear	http://wxsrv/ontology/weather.owl#WindShear
VVCSH	northward_wind_shear	http://wxsrv/ontology/weather.owl#hasWindShear	http://wxsrv/ontology/weather.owl#WindShear
DIR C	direction_of_sea_water_velocity	http://wxsrv/ontology/weather.owl#hasSeaWaterDirection	http://wxsrv/ontology/weather.owl#SeaWaterDirection
SP C	sea_water_speed	http://wxsrv/ontology/weather.owl#hasSeaWaterSpeed	http://wxsrv/ontology/weather.owl#SeaWaterSpeed
UOGRD	eastward_sea_water_velocity	http://wxsrv/ontology/weather.owl#hasSeaWaterSpeed	http://wxsrv/ontology/weather.owl#SeaWaterSpeed
VOGRD	northward_sea_water_velocity	http://wxsrv/ontology/weather.owl#hasSeaWaterSpeed	http://wxsrv/ontology/weather.owl#SeaWaterSpeed
SPF H	specific_humidity		
R H	relative_humidity	http://wxsrv/ontology/weather.owl#hasRelativeHumidity	http://wxsrv/ontology/weather.owl#RelativeHumidity
MIXR	humidity_mixing_ratio		
P WAT	atmosphere_water_vapour_content		
VAPP	water_vapour_pressure		
SAT D	water_vapour_saturation_deficit		
EVP	water_evaporation_amount		
C ICE	atmosphere_cloud_ice_content		
PRATE	precipitation_flux		
TSTM	thunderstorm_probability		
A PCP	precipitation_amount	http://wxsrv/ontology/weather.owl#hasPrecipitationAmount	http://wxsrv/ontology/weather.owl#PrecipitationAmount
