# Release
#wmo      |stn  |lat      |lon       |elev |location|or|type
0000004202|BGTL | 76.53333| -68.75000|   77|THULE AB, GREENLAND|GL|RAOB
0000008594|GVAC | 16.73300| -22.95000|   55|SAL, CAPE VERDE|CV|RAOB
0000021824|RUTS | 71.58300| 128.91600|    4|TIKSI|RS|RAOB
0000021946|21946| 70.61700| 147.88300|   44|CHOKURDAKH|RS|RAOB
0000021965|21965| 70.63300| 162.40000|   38|O. CHETYREKHSTOLBOVOY|RS|RAOB
0000021982|21982| 70.96700|-178.53000|    3|O. VRANGELYA|RS|RAOB
0000024266|24266| 67.51600| 133.38300|  137|VERKHOYANSK|RS|RAOB
0000024343|24343| 66.76700| 123.35000|   84|ZIGANSK|RS|RAOB
0000024641|24641| 63.76700| 121.61700|  111|VILYUYSK|RS|RAOB
0000024688|24688| 63.26600| 143.14900|  740|OYMYAKON|RS|RAOB
0000024790|24790| 62.78300| 148.16600|  649|SUSUMAN|RS|RAOB
0000024944|24944| 60.36600| 120.40000|  134|OLEKMINSK|RS|RAOB
0000024959|24959| 62.01600| 129.75000|  110|YAKUTSK|RS|RAOB
0000025042|25042| 69.93300| 167.98300|   16|O AYON|RS|RAOB
0000025123|25123| 68.75000| 161.28300|   26|CHERSKIY|RS|RAOB
0000025399|25399| 66.16700|-169.83000|    6|MYS UZLEN|RS|RAOB
0000025400|25400| 65.73300| 150.90000|   48|ZYRYANKA|RS|RAOB
0000025428|25428| 65.23300| 160.53300|  264|OMOLON|RS|RAOB
0000025551|25551| 64.68300| 170.41700|   26|MARKOVO|RS|RAOB
0000025563|UHMA | 64.73300| 177.53300|    6|ANADYR'|RS|RAOB
0000025594|UHMD | 64.43300|-173.23000|   11|BUKHTA PROVIDENIYA|RS|RAOB
0000025703|25703| 62.93300| 152.43300|  207|SEJMCAN|RS|RAOB
0000025822|25822| 61.95000| 160.38300|    5|GIZIGA|RS|RAOB
0000025913|UHMM | 59.53300| 150.76600|  118|MAGADAN|RS|RAOB
0000025954|25954| 60.35000| 166.00000|    4|KORF|RS|RAOB
0000030692|30692| 54.00000| 123.96700|  400|SKOVORODINO|RS|RAOB
0000031004|31004| 58.61700| 125.36700|  691|ALDAN|RS|RAOB
0000031088|31088| 59.36700| 143.20000|    6|OKHOTSK|RS|RAOB
0000031168|31168| 56.45000| 138.15000|    7|AYAN|RS|RAOB
0000031300|31300| 53.75000| 127.23300|  228|ZEYA|RS|RAOB
0000031329|UHPB | 53.08300| 132.98300|  543|EKIMCHAN|RS|RAOB
0000031369|31369| 53.13300| 140.70000|   46|NIKOLAYEVSK-NA AMUR|RS|RAOB
0000031510|31510| 50.26700| 127.50000|  137|BLAGOVESHCHENSK|RS|RAOB
0000031538|31538| 50.06700| 132.13300|  345|SUTUR|RS|RAOB
0000031561|31561| 50.60000| 137.13300|   20|KOMSOMOL'SK|RS|RAOB
0000031707|31707| 47.73300| 130.96700|   74|YEKATERINO-NIKOLSK|RS|RAOB
0000031735|RUHB | 48.53300| 135.23300|   72|KHABAROVSK|RS|RAOB
0000031770|31770| 49.00000| 140.26700|   22|SOVETSKAYA GAVAN|RS|RAOB
0000031873|31873| 45.86600| 133.73300|  100|DALNERECHENSK|RS|RAOB
0000031909|31909| 45.00000| 136.60000|   70|TERNEY|RS|RAOB
0000031960|UHWW | 43.20000| 132.08300|   87|VLADIVOSTOK|RS|RAOB
0000032061|32061| 50.90000| 142.16700|   18|ALEKSANDROVSK-SAKH.|RS|RAOB
0000032098|32098| 49.21700| 143.10000|    4|PORONAJSK|RS|RAOB
0000032150|RUSH | 46.91700| 142.73300|   24|YUZHNO-SAHALINSK|RS|RAOB
0000032165|32165| 44.01600| 145.86600|   46|YUZHNO-KURIL'SK|RS|RAOB
0000032186|32186| 46.20000| 150.50000|   76|URUP|RS|RAOB
0000032217|32217| 50.00000| 155.38300|   32|SEVERO-KURIL'SK|RS|RAOB
0000032389|32389| 56.31700| 160.83300|   28|KLYUCHI|RS|RAOB
0000032477|32477| 54.30000| 155.93300|   25|SOBOLEVO|RS|RAOB
0000032540|UHPP | 53.08300| 158.55000|   84|PETROPAVLOVSK|RS|RAOB
0000032618|32618| 55.20000| 165.98300|   14|NIKOL'SKOYE|RS|RAOB
0000046692|RCSS | 25.03300| 121.51700|    9|TAIPEI (589680)|TW|RAOB
0000046697|RCGM | 25.05000| 121.21700|   48|TAOYUAN|TW|RAOB
0000046747|RCMJ | 22.46700| 120.43300|    8|TUNGCHIANG (595530)|TW|RAOB
0000047058|ZKKK | 39.03300| 125.78300|   38|PYONGYANG|KO|RAOB
0000047110|RKSS | 37.55000| 126.80000|   13|SEOUL/KIMPO INTL.|KO|RAOB
0000047122|RKSO | 37.10000| 127.03300|   54|OSAN|KO|RAOB
0000047138|RKTH | 36.03300| 129.38300|   16|POHANG|KO|RAOB
0000047158|RKJJ | 35.11700| 126.81700|   13|KWANGJU (KOR-AFB)|KO|RAOB
0000047187|RKPM | 33.20000| 126.26700|   27|CHEJU DO/MOSULPO|KO|RAOB
0000047401|RJCW | 45.41700| 141.68300|   12|WAKKANAI|JP|RAOB
0000047412|RJCO | 43.05000| 141.33300|   19|SAPPORO|JP|RAOB
0000047420|47420| 43.33300| 145.58300|   26|NEMURO|JP|RAOB
0000047580|RJSM | 40.68300| 141.38300|   39|MISAWA|JP|RAOB
0000047582|RJSK | 39.71700| 140.10000|    9|AKITA|JP|RAOB
0000047590|RJSS | 38.26700| 140.90000|   38|SENDAI|JP|RAOB
0000047600|47600| 37.38300| 136.90000|    5|WAJIMA|JP|RAOB
0000047646|47646| 36.05000| 140.13300|   27|TATENO|JP|RAOB
0000047678|RJTH | 33.11700| 139.78300|  153|HACHIJOJIMA/OMURE|JP|RAOB
0000047681|RJNH | 34.73300| 137.66700|   47|HAMAMATSU AB|JP|RAOB
0000047744|47744| 35.43300| 133.35000|    6|YONAGO|JP|RAOB
0000047778|47778| 33.45000| 135.76700|   73|SHIONOMISAKI|JP|RAOB
0000047807|47807| 33.58300| 130.38300|    3|FUKUOKA|JP|RAOB
0000047808|RJFF | 33.58300| 130.45000|    7|FUKUOKA/ITAZUKE AB|JP|RAOB
0000047827|RJFK | 31.63300| 130.58300|  282|KAGOSHIMA/YOSHINO|JP|RAOB
0000047881|RJOS | 34.13300| 134.60000|    2|TOKUSHIMA AB|JP|RAOB
0000047909|47909| 28.38300| 129.55000|  295|NAZE/FUNCHATOGERE|JP|RAOB
0000047918|ROIG | 24.33300| 124.16700|    7|ISHIGAKIJIMA|JP|RAOB
0000047931|RODN | 26.35000| 127.75000|   43|KADENA AB|JP|RAOB
0000047936|ROAH | 26.20000| 127.66700|   29|NAHA/KAGAMIZU|JP|RAOB
0000047945|ROMD | 25.83300| 131.23300|   15|MINAMIDAITOJIMA|JP|RAOB
0000047971|RJAO | 27.08300| 142.18300|    4|CHICHIJIMA|JP|RAOB
0000047981|RJAW | 24.78300| 141.33300|  106|IWO JIMA|JP|RAOB
0000047991|RJAM | 24.30000| 153.96700|    8|MINAMITORISHIMA|JP|RAOB
0000050557|50557| 49.16600| 125.23300|  242|NENJIANG|CH|RAOB
0000050745|ZYQQ | 47.38300| 123.91700|  148|QIQIHAR|CH|RAOB
0000050774|50774| 47.71700| 128.90000|  245|YICHUN|CH|RAOB
0000050953|ZYHB | 45.75000| 126.76600|  142|HARBIN|CH|RAOB
0000054094|54094| 44.56700| 129.60000|  242|MUDANJIANG|CH|RAOB
0000054135|54135| 43.60000| 122.26700|  180|TONGLIAO|CH|RAOB
0000054161|ZYCC | 43.90000| 125.21600|  237|CHANGCHUN|CH|RAOB
0000054292|54292| 42.88300| 129.46600|  177|YANJI|CH|RAOB
0000054337|54337| 41.11700| 121.06700|   30|JINZHOU|CH|RAOB
0000054342|ZYYY | 41.73300| 123.45000|   43|SHENYANG|CH|RAOB
0000054374|54374| 41.71700| 126.91700|  333|LINJIANG|KO|RAOB
