# This is the main file for model BUFR sounding ingest.  This will be clipped to the
# regional scale for most sites to produce the file modelBufrStationInfo.txt
#wmo          |stn  |lat      |lon       |elev |location                       |or|type
0000000001    |YAJ  | 69.580  |-140.180  |9999 |  KOMAKUK, YT                  |US|11
0000000002    |WRP  | 69.900  |-128.970  |9999 |  NICHOLSON, NT                |US|11
0000000003    |WXK  | 69.580  |-120.750  |9999 |  CLINTON POINT, NT            |US|11
0000000004    |SRR  | 65.000  |-132.000  |9999 |  SNAKE RIVER, YT              |US|11
0000000005    |CRR  | 65.000  |-120.000  |9999 |  SW CAMSELL RIVER, NT         |US|11
0000000007    |WTD  | 65.100  |-102.430  |9999 |  ROBERTSON LAKE, NT           |US|11
0000000008    |MTL  | 60.000  |-140.000  |9999 |  MT. LOGAN, YT                |US|11
0000000009    |EFL  | 60.000  |-120.000  |9999 |  E. FT. LIARD, NT             |US|11
0000000010    |ENL  | 60.000  |-100.000  |9999 |  SE ENNADAI LAKE, NT          |US|11
0000000011    |SWW  | 57.000  |-127.000  |9999 |  SW WARE, BC                  |US|11
0000000012    |PASC |70.200   |-148.470  |  17 |  DEADHORSE, AK                |US|10
0000000015    |PAFM |67.100   |-157.850  |  88 |  AMBLER, AK                   |US|10
0000000017    |WJA  | 52.880  |-118.070  |9999 |  JASPER, AB                   |US|11
0000000018    |FTR  | 62.500  |-107.000  |9999 |  FT. RELIANCE, NT             |US|11
0000000019    |GTP  | 43.900  |-110.000  |9999 |  NR. GRAND TETON NTL PK, WY   |US|12
0000000020    |WTT  | 44.800  | -96.700  |9999 |  NR. WATERTOWN, SD            |US|12
0000000021    |CHE  | 43.500  | -95.600  |9999 |  NR. CHEROKEE, IA             |US|12
0000000037    |CRL  | 42.000  | -95.000  |9999 |  NR. CARROLL, IA              |US|12
0000000050    |AIA  | 40.900  | -92.800  |9999 |  NR. ALBIA, IA                |US|12
0000000052    |ABL  | 34.100  | -86.100  |9999 |  NR. ALBERTVILLE, AL          |US|12
0000000053    |CLD  | 35.200  | -84.800  |9999 |  NR. CLEVELAND, KY            |US|12
0000000054    |BRA  | 34.800  | -84.050  |9999 |  BLUE RIDGE OF APPALACH.,GA   |US|12
0000000055    |FRI  | 36.300  | -81.200  |9999 |  NR. FRIES, VA                |US|12
0000000056    |SBT  | 49.000  |-112.000  |9999 |  NR. SUNBURST, MT             |US|12
0000000057    |LRR  | 48.000  |-113.000  |9999 |  LEWIS RANGE OF ROCKIES,MT    |US|12
0000000058    |PSR  | 42.200  |-107.200  |9999 |  PATHFINDER/SEMINOE RES,WY    |US|12
0000000059    |LUS  | 42.500 |-104.400   |9999 |  NR. LUSK, WY                 |US|12
0000000060    |ATH  | 42.300 |-102.400   |9999 |  NR. ANTIOCH, NE              |US|12
0000000061    |AIH  | 42.600 | -99.900   |9999 |  NR. AINSWORTH, NE            |US|12
0000000063    |LDL  | 39.100 |-106.200   |9999 |  NR. LEADVILLE, CO            |US|12
0000000065    |CAI  | 37.300 | -88.900   |9999 |  NR. CAIRO, IL                |US|10
0000000066    |KKL  | 40.200 | -92.600   |9999 |  NR. KIRKSVILLE, MO           |US|12
0000000068    |LW1  | 34.900 | -98.100   |9999 |  LITTLE WASHITA #147          |US|12
0000000071    |FPK  | 48.310 |-105.100   | 634 |  FORT PECK, MT                |US|12
0000000072    |GNC  | 34.250 | -89.870   |  98 |  GOODWIN CREEK, MS            |US|12
0000000073    |TBL  | 40.130 |-105.240   |1689 |  TABLE MTN, CO                |US|12
0000000074    |W#N  | 37.480 | -96.930   |9999 |  WALNUT RIVER, KS             |US|12
0000000076    |O#K  | 35.970 | -84.280   |9999 |  OAK RIDGE, TN                |US|12
0000000078    |V#L  | 42.860 |-100.410   |9999 |  VALENTINE, NE                |US|12
0000000080    |RDD  | 40.690 | -94.470   |9999 |  REDDING, IA                  |US|12
0000000081    |WHI  | 42.040 | -77.760   |9999 |  WHITESVILLE, NY              |US|12
0000000082    |PIE  | 39.170 | -79.520   |9999 |  PIERCE, WV                   |US|12
0000000085    |CLN  | 31.710 | -89.410   |9999 |  COLLINS, MS                  |US|12
0000000086    |LS1  | 47.720 | -86.820   |9999 |  LAKE SUPERIOR, EAST          |US|22
0000000087    |LS2  | 47.330 | -89.580   |9999 |  LAKE SUPERIOR, WEST          |US|22
0000000088    |LM1  | 42.620 | -87.200   |9999 |  LAKE MICHIGAN, SOUTH         |US|22
0000000089    |LM2  | 44.770 | -86.700   |9999 |  LAKE MICHIGAN, NORTH         |US|22
0000000090    |LH1  | 44.610 | -82.300   |9999 |  LAKE HURON, MID-LAKE SOUTH   |US|22
0000000091    |GNB  | 44.920 | -80.420   |9999 |  GEORGIAN BAY                 |US|22
0000000092    |LE1  | 41.780 | -82.230   |9999 |  LAKE ERIE, WEST              |US|22
0000000093    |LE2  | 42.530 | -79.780   |9999 |  LAKE ERIE, EAST              |US|22
0000000094    |LO1  | 43.580 | -78.870   |9999 |  LAKE ONTARIO, WEST           |US|22
0000000095    |LO2  | 43.580 | -76.850   |9999 |  LAKE ONTARIO, EAST           |US|22
0000000096    |BH1  | 44.790 |-103.210   |9999 |  BLACK HILLS NORTH, SD        |US|11
0000000097    |BH2  | 44.790 |-104.730   |9999 |  BLACK HILLS NW, WY           |US|11
0000000098    |BH3  | 44.070 |-104.710   |9999 |  BLACK HILLS WEST, WY         |US|11
0000000099    |BH4  | 43.350 |-104.690   |9999 |  BLACK HILLS SW,  WY          |US|11
0000000100    |BH5  | 43.350 |-103.210   |9999 |  BLACK HILLS SOUTH, SD        |US|11
0000000101    |MRS  | 45.500 | -95.900   |9999 |  MORRIS, MN                   |US|11
0000000102    |WSC  | 44.100 | -93.500   |9999 |  WASECA, MN                   |US|11
0000000103    |DSC  | 35.340 |-116.880   | 961 |  GOLDSTONE, CA                |US|10
0000000151    |RSL  | 34.400 | -87.600   |9999 |  NR. RUSSELVILLE, AL          |US|12
0000000152    |G001 | 47.500 |-121.100   |9999 |  CLE ELUM, WA                 |US|11
0000000153    |G002 | 42.700 |-122.200   |9999 |  SEVEN MILE MARSH, OR         |US|11
0000000154    |G003 | 44.500 |-122.700   |9999 |  SANTIAM RIVER, OR            |US|11
0000000155    |G004 | 44.000 |-115.000   |9999 |  UPPER BOISE, ID              |US|11
0000000156    |G005 | 46.900 |-121.300   |9999 |  UPPER YAKIMA, WA             |US|11
0000000157    |G006 | 42.100 |-120.900   |9999 |  STRAWBERRY RES., OR          |US|11
0000000158    |G007 | 44.100 |-120.500   |9999 |  OCHOCO, OR                   |US|11
0000000160    |G009 | 42.700 |-121.400   |9999 |  TAYLOR BUTTE, OR             |US|11
0000000170    |COL1 | 45.680 |-121.270   |9999 |  COLUMBIA RIVER SITE 1, OR    |US|11
0000000171    |COL2 | 45.720 |-121.560   |9999 |  COLUMBIA RIVER SITE 2, OR    |US|11
0000000172    |COL3 | 45.680 |-120.820   |9999 |  COLUMBIA RIVER SITE 3, OR    |US|11
0000000173    |COL4 | 45.720 |-120.210   |9999 |  COLUMBIA RIVER SITE 4, OR    |US|11
0000000180    |TRAV | 38.060 |-121.770   |9999 |  NR. TRAVIS AFB, CA           |US|11
0000000181    |PESC | 37.100 |-122.280   |9999 |  NR. PESCADERO, CA            |US|11
0000000182    |PTBA | 37.820 |-122.470   |9999 |  NR. PT. BONITA, CA           |US|11
0000000183    |SANQ | 37.940 |-122.500   |9999 |  NR. SAN QUINTAN, CA          |US|11
0000000184    |GLRY | 37.070 |-121.120   |9999 |  NR. GILROY, CA               |US|11
0000000185    |KBNV | 40.200 |-113.300   |9999 |  BONNEVILLE LAKE BED, UT      |US|11
0000000190    |ATLH | 40.420 | -73.980   |9999 |  ATLANTIC HIGHLANDS, NJ       |US|11
0000000191    |ATL1 | 37.200 | -74.800   |   0 |  NORTHEAST OF VA BEACH, VA    |US|11
0000000192    |ATL2 | 36.050 | -74.250   |   0 |  OFFSHORE OF DUCK, NC         |US|11
0000000193    |ATL3 | 32.800 | -77.200   |   0 |  SOUTH OF CAPE FEAR, NC       |US|11
0000000194    |ATL4 | 38.600 | -73.750   |   0 |  EAST OF LEWES, DE            |US|11
0000000195    |GMX1 | 29.200 | -87.250   |   0 |  SOUTH OF PENSACOLA, FL       |US|11
0000000202    |A#2  | 74.300 |-156.600   |   0 |  NORTH OF BARROW, AK ARCTIC   |US|20
0000000203    |A#3  | 75.000 |-140.000   |   0 |  N OF BARTAR ISL, AK ARCTIC   |US|20
0000000211    |KLCB | 29.220 |-114.280   |9999 |  LAGUNA CHAPELA BAJA          |MX|11
0000000204    |A#4  | 60.600 |-173.300   |   0 |  NEAR ST MATTHEW ISL BERING   |US|20
0000000227    |REO  | 42.590 |-117.870   |1234 |  ROME, OR                     |US|10
0000000247    |PHP  | 44.050 |-101.600   | 673 |  PHILIP_AIRPORT, SD           |US|10
0000000301    |5AG  | 58.000 |-142.000   |   0 |  PACIFIC OCEAN                |US|20
