# This is the base afos2awips.txt file. This is an incremental override file,
# where the files at each level are applied on top of the previous level,
# in the following order:
#
#    1. BASE afos2awips.txt
#    2. CONFIGURED afos2awips.txt
#    3. CONFIGURED afos2awips.blacklist.txt
#    4. SITE afos2awips.txt
#    5. SITE afos2awips.blacklist.txt
#
# The files applied in this order together represent afos2awips.txt as actually
# used by the system. Of these, only the SITE files (#4 and #5 above) should be
# edited, as CONFIGURED is maintained by the system.
#
# When a SITE file is updated via CAVE localization perspective, EDEX will
# automatically add/remove entries from the legacy afos2awips.txt to reflect
# the change.


AAATIBCAX WECA42 PHEB
ABQABVABQ UFUS45 KABQ
ABQADAABQ NOUS75 KABQ
ABQADMABQ NOUS75 KABQ
ABQADMZAB NOUS75 KABQ
ABQADRABQ NOUS45 KABQ
ABQADRABQ WOUS45 KABQ
ABQADRNM WOUS45 KABQ
ABQAFDABQ FXUS65 KABQ
ABQAFMABQ FOUS55 KABQ
ABQAFPABQ FLUS45 KABQ
ABQAQAABQ AEUS75 KABQ
ABQASAABQ AEUS45 KABQ
ABQAVAABQ WOUS45 KABQ
ABQAVANM WOUS45 KABQ
ABQAVWABQ WOUS45 KABQ
ABQAVWNM WOUS45 KABQ
ABQAWWABQ WWUS85 KABQ
ABQCAEABQ WOUS45 KABQ
ABQCAENM WOUS45 KABQ
ABQCCFABQ FPUS45 KABQ
ABQCDWABQ WOUS45 KABQ
ABQCDWNM WOUS45 KABQ
ABQCEMABQ WOUS45 KABQ
ABQCEMNM WOUS45 KABQ
ABQCF6ABQ CXUS55 KABQ
ABQCF6CAO CXUS55 KABQ
ABQCF6CQC CXUS55 KABQ
ABQCF6FMN CXUS55 KABQ
ABQCF6GNT CXUS55 KABQ
ABQCF6GUP CXUS55 KABQ
ABQCF6RTN CXUS55 KABQ
ABQCF6SAF CXUS55 KABQ
ABQCF6TCC CXUS55 KABQ
ABQCLIABQ CDUS45 KABQ
ABQCLICAO CDUS45 KABQ
ABQCLIDMN CDUS54 KEPZ
ABQCLIFMN CDUS45 KABQ
ABQCLIGNT CDUS45 KABQ
ABQCLIGUP CDUS45 KABQ
ABQCLILVS CDUS45 KABQ
ABQCLIROW CDUS45 KABQ
ABQCLIRTN CDUS45 KABQ
ABQCLISAF CDUS45 KABQ
ABQCLITCC CDUS45 KABQ
ABQCLITCS CDUS54 KEPZ
ABQCLMABQ CXUS55 KABQ
ABQCLMCAO CXUS55 KABQ
ABQCLMFMN CXUS55 KABQ
ABQCLMGNT CXUS55 KABQ
ABQCLMGUP CXUS55 KABQ
ABQCLMLVS CXUS55 KABQ
ABQCLMROW CXUS55 KABQ
ABQCLMRTN CXUS55 KABQ
ABQCLMSAF CXUS55 KABQ
ABQCLMTCC CXUS55 KABQ
ABQCMMABQ CSUS55 KABQ
ABQDGTABQ AXUS75 KABQ
ABQDMOABQ WOUS45 KABQ
ABQDMONM WOUS45 KABQ
ABQDPAABX SDUS85 KABQ
ABQDPAFDX SDUS85 KABQ
ABQDSMABQ CXUS45 KABQ
ABQDSMCAO CXUS45 KABQ
ABQDSMCQC CXUS45 KABQ
ABQDSMFMN CXUS45 KABQ
ABQDSMGNT CXUS45 KABQ
ABQDSMGUP CXUS45 KABQ
ABQDSMLVS CXUS45 KABQ
ABQDSMROW CXUS45 KABQ
ABQDSMRTN CXUS45 KABQ
ABQDSMTCC CXUS45 KABQ
ABQDSMTCS CXUS45 KABQ
ABQEQRABQ SEUS65 KABQ
ABQEQWABQ WOUS45 KABQ
ABQEQWNM WOUS45 KABQ
ABQESFABQ FGUS75 KABQ
ABQESSABQ FGUS55 KABQ
ABQEVIABQ WOUS45 KABQ
ABQEVINM WOUS45 KABQ
ABQEWWABQ WFUS55 KABQ
ABQFFAABQ WGUS65 KABQ
ABQFFSABQ WGUS75 KABQ
ABQFFWABQ WGUS55 KABQ
ABQFLSABQ WGUS85 KABQ
ABQFLWABQ WGUS45 KABQ
ABQFRWABQ WOUS45 KABQ
ABQFRWNM WOUS45 KABQ
ABQFTMABX NOUS65 KABQ
ABQFTMFDX NOUS65 KABQ
ABQFWFABQ FNUS55 KABQ
ABQFWMABQ FNUS85 KABQ
ABQFWOABQ SHUS65 KABQ
ABQFWSABQ FNUS75 KABQ
ABQFZLABQ UXUS45 KABQ
ABQHCMABQ NGUS85 KABQ
ABQHLSABQ WTUS85 KABQ
ABQHMLABQ SRUS55 KABQ
ABQHMWABQ WOUS45 KABQ
ABQHMWNM WOUS45 KABQ
ABQHWOABQ FLUS45 KABQ
ABQHYMABQ CSUS45 KABQ
ABQKPAABQ NZUS87 KABQ
ABQLAEABQ WOUS45 KABQ
ABQLAENM WOUS45 KABQ
ABQLCOABQ SXUS55 KABQ
ABQLEWABQ WOUS45 KABQ
ABQLEWNM WOUS45 KABQ
ABQLSRABQ NWUS55 KABQ
ABQMANABQ USUS45 KABQ
ABQMISABQ AXUS45 KABQ
ABQMISZAB AXUS45 KABQ
ABQMONMSG NTXX98 KABQ
ABQMSMABQ CSUS45 KABQ
ABQMSMCAO CSUS45 KABQ
ABQMSMCQC CSUS45 KABQ
ABQMSMFMN CSUS45 KABQ
ABQMSMGNT CSUS45 KABQ
ABQMSMGUP CSUS45 KABQ
ABQMSMLVS CSUS45 KABQ
ABQMSMROW CSUS45 KABQ
ABQMSMRTN CSUS45 KABQ
ABQMSMTCC CSUS45 KABQ
ABQMSMTCS CSUS45 KABQ
ABQMTRABQ SAUS45 KABQ
ABQMTRCAO SAUS45 KABQ
ABQMTRCQC SAUS45 KABQ
ABQMTRFMN SAUS45 KABQ
ABQMTRGNT SAUS45 KABQ
ABQMTRROW SAUS45 KABQ
ABQMTRRTN SAUS45 KABQ
ABQMTRTCS SAUS45 KABQ
ABQNOWABQ FPUS75 KABQ
ABQNPWABQ WWUS75 KABQ
ABQNUWABQ WOUS45 KABQ
ABQNUWNM WOUS45 KABQ
ABQOAVABQ NOUS55 KABQ
ABQOPUABQ FPUS85 KABQ
ABQPFMABQ FOUS55 KABQ
ABQPNSABQ NOUS45 KABQ
ABQPSHABQ ACUS75 KABQ
ABQQPSABQ FSUS45 KABQ
ABQRCMABX SDUS45 KABQ
ABQRCMFDX SDUS45 KABQ
ABQRERABQ SXUS75 KABQ
ABQRERCAO SXUS75 KABQ
ABQRERFMN SXUS75 KABQ
ABQRERGNT SXUS75 KABQ
ABQRERGUP SXUS75 KABQ
ABQRERLVS SXUS75 KABQ
ABQRERROW SXUS75 KABQ
ABQRERRTN SXUS75 KABQ
ABQRERSAF SXUS75 KABQ
ABQRERTCC SXUS75 KABQ
ABQRFDABQ FNUS65 KABQ
ABQRFWABQ WWUS85 KABQ
ABQRHWABQ WOUS45 KABQ
ABQRHWNM WOUS45 KABQ
ABQRR1ABQ SRUS55 KABQ
