DATE / RAOB	REPORT	MUMR	MUCAPE	500TEMP	7-5 LR	0-6SH	0-9SH	0-3SH	SHIP	MODELb	SRH
91051100.MAF	6.00	14.9	4692	-10.8	8.8	13.2	18.1	14.2	1.9	2.70	-37
95052300.DDC	6.00	15.3	4181	-9.6	7.5	19.4	26.8	23.4	1.9	3.00	325
97061700.OUN	5.50	18.8	5751	-9.5	7.4	23.6	45.9	14.5	4.3	3.50	116
06040300.LZK	5.00	13.7	3819	-14.9	8.0	26.6	32.6	20.9	3.9	3.40	251
57070300.RAP	5.00	15.8	4359	-6.7	7.7	22.9	39.3	13.9	1.9	3.40	130
90070800.BIS	5.00	16.6	3717	-9.8	7.7	29.8	42.2	12.5	3.3	2.40	202
91052900.HON	5.00	15.2	3892	-12.3	8.0	40.7	36.0	25.0	5.7	3.50	269
92072600.DDC	5.00	17.4	4794	-4.6	6.8	17.4	14.6	18.2	1.1	0.80	176
96061200.DDC	5.00	13.7	2820	-8.3	7.6	20.3	15.8	12.9	1.2	2.50	142
99012200.LZK	5.00	12.3	2240	-17.3	7.6	26.3	32.1	23.0	2.3	3.00	294
99060100.DDC	4.75	15.9	4387	-11.3	8.0	27.7	38.0	15.3	4.2	3.50	209
02042900.IAD	4.50	13.6	2553	-16.7	7.3	21.1	33.9	24.9	2.1	2.90	373
02043000.FWD	4.50	19.4	5853	-10.9	8.0	29.7	37.1	14.6	7.0	3.10	151
89060400.MAF	4.50	14.0	3939	-10.0	8.5	20.6	33.6	6.6	2.3	2.20	58
89060700.SEP	4.50	15.6	3510	-7.9	7.0	24.8	47.4	9.0	1.8	2.40	130
89062700.GSO	4.50	17.6	4349	-7.3	6.3	14.2	6.4	7.8	1.2	0.90	52
89070300.SEP	4.50	18.5	5261	-7.6	8.4	22.6	1.2	12.9	3.4	2.90	222
89080400.INL	4.50	17.4	3953	-11.5	8.3	18.6	29.2	7.3	2.9	1.00	36
90051600.OUN	4.50	16.7	4398	-9.0	7.6	25.5	44.9	23.2	3.1	3.10	180
91032800.FNT	4.50	11.3	1860	-17.3	7.6	47.0	45.4	26.8	3.1	2.90	431
91042912.BRO	4.50	19.5	4471	-9.8	7.7	23.1	24.2	13.7	3.6	-999.00	254
91072100.HON	4.50	20.1	5826	-6.1	6.8	22.8	33.9	14.3	2.6	1.90	180
91081400.GTF	4.50	11.5	2524	-13.2	8.5	25.8	28.9	15.3	2.0	2.00	213
92062800.AMA	4.50	16.0	4069	-10.3	7.9	22.8	27.5	16.9	2.9	3.20	150
92062800.DDC	4.50	13.8	2750	-11.3	7.8	20.6	41.3	15.2	1.6	2.90	315
92062900.SEP	4.50	17.4	3761	-9.6	7.8	21.8	15.6	13.7	2.5	2.80	248
92073000.OVN	4.50	16.6	4366	-11.4	7.4	22.3	23.7	13.9	3.3	3.20	216
92073000.TOP	4.50	16.6	4074	-10.0	7.5	22.5	22.1	11.8	2.7	2.40	164
93050100.DDC	4.50	11.1	3206	-16.5	8.0	24.0	29.9	15.4	2.7	3.70	194
93060800.OUN	4.50	17.0	4917	-9.1	7.1	30.6	26.7	9.7	3.9	2.60	195
93062700.OVN	4.50	15.0	3720	-10.0	6.3	22.3	28.9	9.4	1.9	3.10	140
93072400.BIS	4.50	15.3	3597	-9.8	5.8	21.0	33.2	14.9	1.6	2.30	263
93092200.OVN	4.50	15.4	3685	-11.1	8.1	31.9	33.2	23.5	3.9	4.00	492
93092200.TOP	4.50	16.8	3665	-8.1	6.5	21.3	37.9	21.3	1.7	1.30	502
93101300.SEP	4.50	14.2	3151	-13.1	8.0	22.3	31.8	15.0	2.5	2.90	307
93101800.SEP	4.50	15.7	3958	-10.6	7.0	31.7	30.5	23.2	3.5	2.20	441
94040300.OUN	4.50	10.1	2075	-17.0	7.6	31.2	39.3	18.7	2.0	2.10	163
94042600.SEP	4.50	16.3	4409	-11.5	7.4	26.7	26.2	21.2	3.9	3.30	138
94060800.LBF	4.50	13.0	3400	-9.5	7.8	18.7	18.4	8.1	1.5	2.40	109
95051700.DDC	4.50	15.6	4878	-10.8	8.5	26.6	40.7	8.9	4.4	2.60	43
95060500.MAF	4.50	14.9	4358	-8.6	7.6	23.2	32.0	16.0	2.3	2.90	181
95060900.MAF	4.50	17.8	5653	-8.1	8.1	18.7	33.5	12.8	2.9	2.90	83
96030700.JAN	4.50	14.0	2362	-12.5	6.8	34.9	36.9	16.8	2.3	0.60	196
96050500.IAD	4.50	12.1	2432	-15.2	7.2	25.0	25.5	15.9	1.9	1.90	36
96051000.TOP	4.50	15.6	3884	-11.1	8.8	18.3	22.3	22.1	2.6	3.30	234
96062700.TFX	4.50	13.9	3835	-10.9	8.3	37.1	44.3	21.8	4.3	1.60	297
96081100.LBF	4.50	13.3	2360	-8.4	6.2	26.1	22.0	26.5	1.0	2.60	326
96102100.OUN	4.50	12.7	2995	-12.9	7.5	20.3	28.4	15.6	1.8	3.00	71
01070300.LBF	4.25	16.7	5584	-8.7	8.5	18.0	24.7	14.2	3.0	4.20	154
03040600.FWD	4.25	12.4	2487	-14.3	7.3	31.5	51.8	17.1	2.4	2.90	341
03050500.SGF	4.25	15.7	5169	-13.5	7.6	38.4	50.7	30.0	7.6	2.90	348
03050518.BNA	4.25	16.0	2730	-12.9	7.1	37.0	37.2	18.3	3.5	-999.00	239
03051000.MHX	4.25	17.1	4373	-10.5	7.3	22.7	23.2	14.1	3.1	2.10	146
04040400.MAF	4.25	12.0	2746	-14.7	7.0	19.5	31.1	14.4	1.6	2.70	262
04052200.AMA	4.25	13.7	4265	-8.7	7.9	21.5	23.9	13.6	2.1	2.10	176
04053000.OUN	4.25	16.8	4526	-7.5	7.8	24.4	40.4	15.8	2.6	-999.00	224
04062200.AMA	4.25	13.8	3828	-8.9	8.0	26.2	40.5	17.8	2.3	2.30	141
04071200.GGW	4.25	11.0	2390	-13.7	8.6	22.3	32.0	17.1	1.6	1.90	99
04071300.LBF	4.25	19.5	7183	-7.3	8.6	14.7	20.5	10.3	3.1	3.70	68
04071318.ILX	4.25	22.1	6811	-10.9	7.9	18.7	21.9	15.5	5.8	2.60	131
04081000.DNR	4.25	12.9	3415	-9.1	8.0	15.0	15.4	16.2	1.2	3.20	270
05031400.JAN	4.25	11.1	1382	-15.7	7.6	25.5	49.7	19.2	1.1	2.80	161
05042000.LBF	4.25	10.1	2460	-15.7	8.9	15.3	22.3	16.6	1.3	2.90	255
05042200.SGF	4.25	12.6	2944	-13.3	6.8	21.3	15.6	15.1	1.7	2.20	193
07080400.RAP	4.25	15.6	2983	-4.1	6.2	22.7	35.8	18.3	0.6	0.90	270
08020600.SHV	4.25	13.5	2312	-14.1	7.3	32.4	43.7	25.8	2.5	1.80	212
02042000.MAF	4.00	12.9	2974	-8.1	6.9	24.3	41.7	19.0	1.2	2.50	133
02061300.DDC	4.00	19.5	6234	-6.9	7.6	19.8	32.7	17.2	3.0	3.70	126
03050300.BMX	4.00	15.2	4593	-15.7	7.9	32.4	30.5	8.1	6.7	2.90	51
04071318.DVN	4.00	20.8	6090	-11.1	8.4	25.9	22.3	22.5	7.3	2.80	191
06050600.MAF	4.00	12.4	3533	-12.3	8.2	33.6	48.0	19.3	3.5	2.00	174
06071700.INL	4.00	14.1	3719	-11.1	8.4	26.3	29.8	19.9	3.1	2.40	328
06092221.SGF	4.00	17.6	5071	-6.7	5.3	31.6	37.0	21.0	2.4	1.10	202
89061100.AMA	4.00	15.8	3666	-8.7	7.6	11.0	19.2	11.1	1.0	-999.00	87
89062700.DDC	4.00	14.3	2840	-8.4	7.6	19.4	19.2	12.7	1.2	2.20	167
89071800.LBF	4.00	15.4	3622	-9.4	8.1	38.9	37.6	22.9	3.9	2.90	361
90051500.AMA	4.00	14.8	4543	-9.9	8.2	24.7	33.8	19.2	3.2	2.20	473
90051900.AMA	4.00	11.5	2732	-9.3	7.7	26.1	30.4	18.5	1.4	2.10	301
90060900.TOP	4.00	18.5	5571	-10.1	7.3	22.6	16.4	14.8	4.1	2.70	252
90070100.DAY	4.00	16.6	3541	-9.4	7.1	19.9	24.5	8.6	1.8	1.80	154
90090200.RAP	4.00	11.3	1762	-7.4	7.5	23.6	32.7	14.1	0.6	2.10	181
91041300.SEP	4.00	16.9	5008	-10.6	6.8	21.8	27.4	12.2	3.2	3.40	137
93071600.RAP	4.00	14.1	3230	-7.5	7.7	25.0	35.8	18.6	1.6	3.20	97
93072300.HON	4.00	15.7	3720	-8.1	6.0	19.1	22.5	15.4	1.3	1.50	130
95050600.FTD	4.00	15.1	2036	-11.1	7.1	21.2	37.5	20.8	1.2	0.60	304
95051600.JAN	4.00	17.9	4861	-10.9	7.8	14.9	18.5	8.6	2.6	2.50	-35
95072500.FTD	4.00	15.4	2897	-10.0	9.2	19.1	19.8	12.8	1.9	-999.00	168
95072600.DDC	4.00	18.3	5696	-10.1	8.8	21.3	19.2	17.1	4.7	3.30	238
95102700.SGF	4.00	12.5	2166	-13.8	6.9	21.9	29.4	25.7	1.3	1.60	267
96052300.LBF	4.00	13.5	2915	-11.1	8.0	27.8	43.7	18.5	2.3	2.90	303
97082200.LBF	4.00	15.7	3974	-9.7	7.4	26.4	37.5	17.4	2.8	3.30	321
98050800.FFC	4.00	17.3	4120	-12.3	7.7	31.0	51.6	17.1	5.0	2.20	172
98063000.TOP	4.00	21.8	6490	-5.3	7.2	24.4	32.6	18.1	3.1	1.70	230
03040400.OUN	3.75	11.9	2640	-15.1	7.3	24.0	23.9	13.4	2.0	2.30	187
95051900.BMX	3.75	16.5	3370	-9.9	6.6	20.6	25.5	16.9	1.8	0.60	246
01040400.SGF	3.65	12.8	3277	-15.1	8.3	22.4	28.9	17.2	2.8	3.10	310
01041500.DDC	3.65	13.1	3892	-18.3	9.0	43.1	54.7	24.4	8.6	2.50	233
01050700.LZK	3.65	14.7	3512	-12.9	5.9	18.7	26.3	7.3	1.8	3.40	77
01050700.SHV	3.65	14.8	2945	-12.5	6.5	15.7	22.1	9.0	1.3	1.70	110
01051800.AMA	3.65	13.9	4695	-10.5	8.6	13.2	22.8	16.1	1.8	2.10	86
01052500.JAN	3.65	13.5	3446	-15.1	7.5	21.8	31.4	17.4	2.7	2.70	240
01061400.DDC	3.65	15.7	5244	-8.9	8.0	28.1	28.2	19.8	3.9	2.50	384
01062100.DDC	3.65	15.2	4428	-10.7	7.8	19.0	25.2	13.4	2.5	3.20	400
01071800.ABR	3.65	17.5	5177	-9.9	8.4	19.5	28.2	9.6	3.5	3.90	136
01072100.GGW	3.65	13.5	3114	-10.7	7.7	28.3	30.5	15.8	2.3	2.80	354
02051100.MAF	3.65	14.5	4658	-9.3	8.4	23.1	40.3	14.8	2.9	2.20	132
02051200.TOP	3.65	15.8	4489	-11.9	8.1	26.0	26.5	13.7	4.2	3.30	224
02060500.RNK	3.65	17.9	5399	-9.7	6.9	4.0	7.3	8.7	0.6	3.20	54
02062400.ABR	3.65	17.2	5093	-10.5	8.2	26.3	30.9	16.9	4.7	3.50	187
02091900.OUN	3.65	15.7	4268	-6.1	6.7	20.8	23.4	17.8	1.4	3.00	308
03062300.OAX	3.65	18.7	6203	-9.3	8.6	13.6	22.9	12.3	3.0	4.20	237
98040800.ILX	3.65	10.2	1354	-19.7	7.2	21.2	25.1	20.1	1.0	2.60	180
98052200.SGF	3.65	17.1	4719	-9.9	7.8	22.4	23.1	13.8	3.3	2.30	232
99030600.LZK	3.65	11.7	1922	-18.5	8.2	22.8	39.2	21.4	1.9	2.10	360
99050400.OUN	3.65	15.6	5195	-14.9	8.4	21.3	22.0	16.5	5.1	4.70	343
99072600.LBF	3.65	16.4	4375	-6.7	7.9	12.9	16.1	9.5	1.2	2.60	60
01041000.SGF	3.50	13.0	3476	-14.5	7.9	21.6	30.3	12.5	2.7	2.60	141
01061500.FWD	3.50	17.3	4260	-9.7	7.9	15.1	9.7	11.1	2.0	2.20	74
02081200.DDC	3.50	14.0	3415	-8.7	8.0	15.7	27.7	10.7	1.2	3.10	157
89070300.STC	3.50	15.6	3556	-8.2	7.0	15.8	21.4	8.5	1.2	1.40	128
90031400.OUN	3.50	14.6	3950	-16.1	7.2	20.2	49.4	12.3	3.2	2.90	169
90040600.SEP	3.50	12.4	3764	-14.9	7.8	25.2	36.8	15.4	3.3	2.30	305
90060900.IAD	3.50	17.2	3994	-10.9	7.1	23.7	20.0	18.3	3.0	0.90	203
90061900.BIS	3.50	11.1	1968	-13.5	8.2	28.4	38.0	17.4	1.6	2.90	257
96062000.OAX	3.50	16.3	4081	-9.8	8.6	19.0	24.4	18.9	2.5	-999.00	271
97062100.LBF	3.50	17.3	6058	-9.3	8.8	23.1	25.1	13.9	4.7	3.70	129
98052100.TOP	3.50	16.5	4680	-12.5	8.4	10.5	23.7	9.8	2.0	3.80	100
98052500.OUN	3.50	18.0	5688	-10.7	8.1	21.9	28.7	9.9	4.6	4.20	172
98062000.OUN	3.50	19.0	6048	-7.1	7.8	15.4	11.2	13.7	2.3	3.90	209
06070200.GRB	3.25	15.4	3255	-9.3	6.6	17.0	24.9	14.7	1.2	1.50	99
91060500.DDC	3.25	16.9	4631	-7.9	6.5	15.3	15.4	11.0	1.5	3.50	74
00050400.FWD	3.00	13.2	2731	-14.3	6.3	21.7	28.5	19.0	1.7	3.00	327
00062900.MAF	3.00	14.8	3565	-6.3	6.3	10.5	16.7	9.6	0.5	1.80	29
00080600.OAX	3.00	19.0	5525	-7.1	7.5	15.0	22.8	9.4	2.0	3.10	56
01051900.LZK	3.00	16.6	4269	-12.5	8.1	18.5	25.8	9.9	3.2	2.70	98
01053000.AMA	3.00	16.4	5827	-9.7	8.2	26.1	29.7	25.0	4.7	2.80	268
01090900.FWD	3.00	17.1	4304	-8.9	8.2	14.1	12.0	7.7	1.8	2.70	97
03042100.SHV	3.00	15.5	2947	-13.5	7.5	24.0	38.0	14.3	2.6	0.90	110
03050420.SGF	3.00	15.8	4524	-11.9	7.1	35.4	47.9	25.2	5.1	3.20	480
03062400.LBF	3.00	18.6	6189	-8.7	8.1	30.8	31.6	21.7	5.9	4.80	381
03062800.DDC	3.00	11.4	2329	-9.3	6.7	16.9	26.8	10.8	0.7	2.20	138
