#
# Last modified on: 07/26/99;  4/2002; 10/7/03; 10/14/03
#
# This table contains all the GRIB ids for the gridded data models. It
# corresponds to Table A of GRIB edition 1.
#
# The columns represent each of the following parameters.
#
# - Value is the number found in the GRIB Product Description Section
#   Octet 6. 
#
# - Name is a unique acronym for the model.
#
# - Long name is the full name of the model.
# 
#
#      TABLE OF GENERATING PROCESSES OR MODELS FROM THE ECMWF (CENTER 98 )
#                          ORIGINATING CENTER
#                        
#                            (PDS Octet 6)
#
# NOTE 3/25/99  revised 10/10/03
# **** This table has several entries that are identical because ECMWF
# **** keeps changing the process ID without warning. If the new process
# **** ID does not exist in this table then no ECMF grids get stored.
# **** Therefore we have put all possible IDs in this table. If the
# **** situation is ever resolved, we can return to just the one
# **** appropriate ID here.
#
#  
#Val|Name    |Long name

#---|--------|---------------------------------------------------------------
  0 |ECMFMOD |ECMF model
  1 |ECMFMOD |ECMF model
  2 |ECMFMOD |ECMF model
  3 |ECMFMOD |ECMF model
  4 |ECMFMOD |ECMF model
  5 |ECMFMOD |ECMF model
  6 |ECMFMOD |ECMF model
  7 |ECMFMOD |ECMF model
  8 |ECMFMOD |ECMF model
  9 |ECMFMOD |ECMF model
 10 |ECMFMOD |ECMF model
 11 |ECMFMOD |ECMF model
 12 |ECMFMOD |ECMF model
 13 |ECMFMOD |ECMF model
 14 |ECMFMOD |ECMF model
 15 |ECMFMOD |ECMF model
 16 |ECMFMOD |ECMF model
 17 |ECMFMOD |ECMF model
 18 |ECMFMOD |ECMF model
 19 |ECMFMOD |ECMF model
 20 |ECMFMOD |ECMF model
 21 |ECMFMOD |ECMF model
 22 |ECMFMOD |ECMF model
 23 |ECMFMOD |ECMF model
 24 |ECMFMOD |ECMF model
 25 |ECMFMOD |ECMF model
 26 |ECMFMOD |ECMF model
 27 |ECMFMOD |ECMF model
 28 |ECMFMOD |ECMF model
 29 |ECMFMOD |ECMF model
 30 |ECMFMOD |ECMF model
 31 |ECMFMOD |ECMF model
 32 |ECMFMOD |ECMF model
 33 |ECMFMOD |ECMF model
 34 |ECMFMOD |ECMF model
 35 |ECMFMOD |ECMF model
 36 |ECMFMOD |ECMF model
 37 |ECMFMOD |ECMF model
 38 |ECMFMOD |ECMF model
 39 |ECMFMOD |ECMF model
 40 |ECMFMOD |ECMF model
 41 |ECMFMOD |ECMF model
 42 |ECMFMOD |ECMF model
 43 |ECMFMOD |ECMF model
 44 |ECMFMOD |ECMF model
 45 |ECMFMOD |ECMF model
 46 |ECMFMOD |ECMF model
 47 |ECMFMOD |ECMF model
 48 |ECMFMOD |ECMF model
 49 |ECMFMOD |ECMF model
 50 |ECMFMOD |ECMF model
 51 |ECMFMOD |ECMF model
 52 |ECMFMOD |ECMF model
 53 |ECMFMOD |ECMF model
 54 |ECMFMOD |ECMF model
 55 |ECMFMOD |ECMF model
 56 |ECMFMOD |ECMF model
 57 |ECMFMOD |ECMF model
 58 |ECMFMOD |ECMF model
 59 |ECMFMOD |ECMF model
 60 |ECMFMOD |ECMF model
 61 |ECMFMOD |ECMF model
 62 |ECMFMOD |ECMF model
 63 |ECMFMOD |ECMF model
 64 |ECMFMOD |ECMF model
 65 |ECMFMOD |ECMF model
 66 |ECMFMOD |ECMF model
 67 |ECMFMOD |ECMF model
 68 |ECMFMOD |ECMF model
 69 |ECMFMOD |ECMF model
 70 |ECMFMOD |ECMF model
 71 |ECMFMOD |ECMF model
 72 |ECMFMOD |ECMF model
