EPM 44.920  -67.020 EASTPORT MAINE
HUL 46.120  -67.800 HOULTON MAINE
CAR 46.870  -68.020 CARIBOU MAINE
BHB 44.450  -68.370 BAR HARBOR MAINE
BGR 44.800  -68.830 BANGOR MAINE
AUG 44.320  -69.800 AUGUSTA MAINE
ACK 41.250  -70.060 NANTUCKET MASSACHUSETTS
HYA 41.670  -70.280 HYANNIS MASSACHUSETTS
PWM 43.650  -70.310 PORTLAND MAINE
PSM 43.080  -70.810 PORTSMOUTH NEW HAMPSHIRE
EWB 41.680  -70.970 NEW BEDFORD MASSACHUSETTS
BOS 42.370  -71.000 BOSTON MASSACHUSETTS
BML 44.650  -71.180 BERLIN NEW HAMPSHIRE
MWN 44.270  -71.300 MOUNT WASHINGTON NEW HAMPSHIRE
LCI 43.570  -71.420 LACONIA NEW HAMPSHIRE
PVD 41.730  -71.430 PROVIDENCE RHODE ISLAND
CON 43.200  -71.500 CONCORD NEW HAMPSHIRE
BID 41.170  -71.580 BLOCK ISLAND RHODE ISLAND
ORH 42.270  -71.880 WORCESTER MASSACHUSETTS
GON 41.330  -72.050 GROTON CONNECTICUT
EFK 44.900  -72.230 NEWPORT VERMONT
EEN 42.900  -72.270 KEENE NEW HAMPSHIRE
LEB 43.630  -72.300 LEBANON NEW HAMPSHIRE
MPV 44.200  -72.560 MONTPELIER VERMONT
BDL 41.930  -72.630 WINDSOR LOCKS CONNECTICUT
BAF 42.150  -72.720 WESTFIELD MASSACHUSETTS
RUT 43.530  -72.950 RUTLAND VERMONT
ISP 40.790  -73.090 ISLIP NEW YORK
BDR 41.170  -73.130 BRIDGEPORT CONNECTICUT
BTV 44.470  -73.150 BURLINGTON VERMONT
PSF 42.430  -73.300 PITTSFIELD MASSACHUSETTS
GFL 43.330  -73.620 GLENS FALLS NEW YORK
JFK 40.630  -73.780 NEW YORK CITY NEW YORK
ALB 42.750  -73.800 ALBANY NEW YORK
POU 41.630  -73.880 POUGHKEEPSIE NEW YORK
EWR 40.700  -74.170 NEWARK NEW JERSEY
SLK 44.380  -74.200 SARANAC LAKE NEW YORK
NEL 40.040  -74.330 LAKEHURST NEW JERSEY
ACY 39.450  -74.580 ATLANTIC CITY NEW JERSEY
MSV 41.700  -74.800 MONTICELLO NEW YORK
TTN 40.280  -74.810 TRENTON NEW JERSEY
MSS 44.930  -74.840 MASSENA NEW YORK
PHL 39.860  -75.250 PHILADELPHIA PENNSYLVANIA
UCA 43.150  -75.380 UTICA NEW YORK
ABE 40.650  -75.430 ALLENTOWN PENNSYLVANIA
DOV 39.130  -75.470 DOVER DELAWARE
WAL 37.930  -75.470 WALLOPS VIRGINIA
SBY 38.330  -75.500 SALISBURY MARYLAND
HSE 35.220  -75.620 CAPE HATTERAS NORTH CAROLINA
ILG 39.680  -75.590 WILMINGTON DELAWARE
AVP 41.330  -75.720 WILKESBARRE PENNSYLVANIA
BGM 42.200  -75.980 BINGHAMTON NEW YORK
ART 44.000  -76.020 WATERTOWN NEW YORK
SYR 43.120  -76.120 SYRACUSE NEW YORK
ECG 36.270  -76.180 ELIZABETH CITY NORTH CAROLINA
ORF 36.900  -76.200 NORFOLK VIRGINIA
NHK 38.280  -76.420 PATUXENT RIVER MARYLAND
ITH 42.480  -76.450 ITHACA NEW YORK
BWI 39.180  -76.670 BALTIMORE MARYLAND
CXY 40.220  -76.840 HARRISBURG PENNSYLVANIA
ELM 42.170  -76.900 ELMIRA NEW YORK
IPT 41.250  -76.920 WILLIAMSPORT PENNSYLVANIA
DCA 38.850  -77.030 WASHINGTON DISTRICT OF COLUMBIA
EWN 35.070  -77.050 NEW BERN NORTH CAROLINA
RIC 37.500  -77.310 RICHMOND VIRGINIA
OAJ 34.830  -77.620 JACKSONVILLE NORTH CAROLINA
ROC 43.120  -77.670 ROCHESTER NEW YORK
HGR 39.700  -77.720 HAGERSTOWN MARYLAND
RWI 35.850  -77.900 ROCKY MOUNT NORTH CAROLINA
ILM 34.270  -77.900 WILMINGTON NORTH CAROLINA
GSB 35.450  -77.970 GOLDSBORO NORTH CAROLINA
MRB 39.400  -77.980 MARTINSBURG WEST VIRGINIA
AOO 40.290  -78.310 ALTOONA PENNSYLVANIA
CHO 38.130  -78.450 CHARLOTTESVILLE VIRGINIA
BFD 41.800  -78.630 BRADFORD PENNSYLVANIA
BUF 42.930  -78.730 BUFFALO NEW YORK
RDU 35.860  -78.780 RALEIGH NORTH CAROLINA
FAY 34.970  -78.880 FAYETTEVILLE NORTH CAROLINA
DUJ 41.180  -78.900 DUBOIS PENNSYLVANIA
SHD 38.270  -78.900 STAUNTON VIRGINIA
CRE 33.680  -78.930 MYRTLE BEACH SOUTH CAROLINA
LYH 37.330  -79.200 LYNCHBURG VIRGINIA
JHW 42.150  -79.250 JAMESTOWN NEW YORK
DAN 36.570  -79.330 DANVILLE VIRGINIA
SOP 35.220  -79.380 SOUTHERN PINES NORTH CAROLINA
LBE 40.280  -79.400 LATROBE PENNSYLVANIA
FLO 34.180  -79.720 FLORENCE SOUTH CAROLINA
EKN 38.880  -79.840 ELKINS WEST VIRGINIA
FKL 41.380  -79.870 FRANKLIN PENNSYLVANIA
MGW 39.650  -79.920 MORGANTOWN WEST VIRGINIA
GSO 36.100  -79.930 GREENSBORO NORTH CAROLINA
ROA 37.320  -79.980 ROANOKE VIRGINIA
CHS 32.900  -80.030 CHARLESTON SOUTH CAROLINA
PBI 26.680  -80.090 WEST PALM BEACH FLORIDA
ERI 42.080  -80.180 ERIE PENNSYLVANIA
PIT 40.500  -80.230 PITTSBURGH PENNSYLVANIA
MIA 25.800  -80.280 MIAMI FLORIDA
SSU 37.780  -80.330 WHITE SULPHUR SPRINGS WEST VIRGINIA
VRB 27.650  -80.420 VERO BEACH FLORIDA
MLB 28.100  -80.630 MELBOURNE FLORIDA
HLG 40.180  -80.650 WHEELING WEST VIRGINIA
YNG 41.250  -80.680 YOUNGSTOWN OHIO
PSK 37.130  -80.680 DUBLIN VIRGINIA
CLT 35.220  -80.950 CHARLOTTE NORTH CAROLINA
