# Release OB9.11
#
#  productButtonInfo.txt
#
#  This table describes product buttons. A product button, when 
#  pressed, loads a depict key that matches the current scale.
#
#  Each product button key must be unique. List it in the first column.
#
#  Each product button maps to a depict key indexed by scale. It is
#  assumed by default that the user is providing a list of depict keys
#  for each scale, starting with scale 0. If all that is provided is
#  plain depict keys, the last key provided will be repeated if fewer
#  keys are provided than there are scales.  Exception: A tag "^1" means
#  to keep adding keys until all scales are filled, incrementing by one
#  for each scale. Similarly, "v1" means the same, but decrement.
#
#  The user may change this default interpretation of key lists by
#  providing fields that begin with a less than (<) or greater than (>)
#  symbol. Numbers that follow these symbols are assumed to be distances
#  in km if they contain a decimal point or are larger than twice the
#  number of scales; otherwise they are assumed to be scale indices. A
#  scale index of -1 means the last scale, -2 the second to last, etc.
#  A < precedes the minimum distance or the first scale index to
#  associate with a depict key. A > precedes the maximum distance or the
#  last scale index to use.
#
#  A key that immediately follows one or more distances is assigned to
#  all scales having sizes between the maximum and minimum distances.
#  These default to 1e37 and 0, respectively, so it is meaningful to
#  just provide one distance. This leaves the scale index set to the
#  next scale after the last one assigned in this manner. A key that
#  immediately follows one or more scale indices will be assigned to
#  that range of scale indices. The last scale index defaults to 0 and
#  the first scale index defaults to whichever scale would normally be
#  assigned next. A key will always at a minimum be assigned to the first
#  scale index.
#
#  Mixing scale indices and distances between depict keys is not
#  recommended as the result is not well defined.
#
#  For example, if there are 5 scales, and a product button has depict
#  keys (101, 101, 101), then we assume that the fourth and fifth
#  scales are also 101.  If a product button has depict keys (101,
#  105, 109), then we assume the fourth and fifth are 0 and 0.
#
#  Also, if a product button should be disabled at a certain scale,
#  list a zero for the depict key.
#
#  List the button label in the third column. List the toggle menu
#  label (which currently isn't used) in the fourth column. (Labels for
#  plots and history list are found in depictInfo.)
#
#  Finally, put a `y', `Y', or a `1' in the fifth column if this is a
#  static entry.  A static entry is one that appears with no green
#  time in the menus.  Nonstatic entries have green times that get
#  registered for auto-updates with the notification server.
#
#
# ProdBtn |  Sequence of depict keys, one    |    Button                  |                           |
#   Key   |  for each scale key              |    label                   |      toggle menu label    | static
  100     |          120                     |Station Plot                |METAR Plot                 | 0
  230     | <7000,   230                     |15 min Plot                 |15 min METAR Plot          | 0
  231     | <14000,  231                     |1hr Precip                  |METAR 1Hr Pcp              | 0
  233     | <14000,  233                     |3hr Precip                  |METAR 3Hr Pcp              | 0
  234     | <14000,  234                     |24hr Precip                 |METAR 24H Pcp              | 0
  236     | <14000,  236                     |6hr Precip                  |METAR 6Hr Pcp              | 0
  220     | <14000,  220                     |Ceil/Vis Plot (AGL)         |Ceiling and Vis Plot (AGL) | 0
 27006    | <14000,  27006                   |Ceil/Vis Plot (MSL)         |Ceiling and Vis Plot (MSL) | 0
  221     | <14000,  221                     |24hr Chg                    |METAR 24H Change Plot      | 0
120120    | 120120                           |Temperature                 |Metar Temp Analysis        | 0
120124    | 120124                           |Temp Image                  |Metar Temp Image           | 0
120121    | 120121                           |Dewpoint                    |Metar Dewp Analysis        | 0
120122    | 120122                           |Wind                        |Metar Wind Analysis        | 0
  27051   |          27051                   |Station Plot                |Synoptic Plot              | 0
  27052   |          27052                   |6hr Precip                  |Synoptic 6Hr Pcp           | 0
  27053   |          27053                   |24hr Precip                 |Synoptic 24H Pcp           | 0
  27054   |          27054                   |Snow Cover                  |Synoptic Snow              | 0
//222     |          222                     |Maritime Plot               |Maritime Plot              | 0
  222     |          222                     |Fixed Buoys                 |Fixed Buoys                | 0
  224     |          224                     |Moving Maritime             |Moving Maritime            | 0
  27604   | 27604                            |Fixed Sea State             |Fixed Sea State            | 0
  27605   | 27605                            |Moving Sea State            |Moving Sea State           | 0
  27606   | 27606                            |Maritime Clouds/Vis         |Maritime CV plot           | 0
  27607   | 27607                            |MAROB                       |MAROB                      | 0
  27608   | 27608                            |MAROB Sea State             |MAROB Sea State            | 0
  27609   | 27609                            |MAROB Clouds/Vis            |MAROB CV plot              | 0
  223     | <14000,  223                     |WindCh/HeatIdx              |WindChill/HeatIndex plot   | 0
  138     | <2500,   138                     |15 min stn plot + QC        |15 min Local Data Plot/QC  | 0
  139     | <2500,   139                     |15 min stn plot             |15 min Local Data Plot     | 0
  140     | <2500,   140                     |5 min stn plot              |5 min Local Data Plot      | 0
  141     | <2500,   141                     |1 min stn plot              |1 min Local Data Plot      | 0
  237     | <2500,   237                     |30 min stn plot + QC        |30 min Local Data Plot/QC  | 0
  238     | <2500,   238                     |30 min stn plot             |30 min Local Data Plot     | 0
  239     | <2500,   239                     |WindCh/HeatIdx              |WindChill/HeatIdx Plot     | 0
  251     | <2500,   251                     |15 min Precip               |LDAD 15m Prcp              | 0
  252     | <2500,   252                     |30 min Precip               |LDAD 30m Prcp              | 0
  253     | <2500,   253                     |1 hr Precip                 |LDAD 1hr Prcp              | 0
  254     | <2500,   254                     |3 hr Precip                 |LDAD 3hr Prcp              | 0
  255     | <2500,   255                     |5 min Precip                |LDAD 5m Prcp               | 0
  27999   | <2500,   27999                   |Surface Plot                |M/M/L Plot                 | 0
  200     | <14000,  200                     |NOWrad                      |NOWrad                     | 0
  22222   |   22222                          |Popup SkewT                 |Popup SkewT                | 1
 1000     |   1000                           |Dist Scale                  |Dist Scale                 | 1
 1001     | <14000, 1001,  <3000, 1103,      |State/County                |State/County               | 1
 1003     | <14000, 1003                     |METARs                      |METARs                     | 1
 1004     | <3000,  1004                     |Zones                       |Zones                      | 1
 1005     | >1200,  1005                     |Lat/Lon Ocean               |Lat/Lon Ocean              | 1
 1008     | <14000, 1008                     |NAM                         |Model Sndg Locs            | 1
 1009     | <14000, 1009                     |GOES                        |GOES Sndg Locs             | 1
 1010     | <2500,  1010                     |LDAD precip                 |LDAD precip                | 1
 1011     | <2500,  1011                     |LDAD stns                   |LDAD                       | 1
 1012     | <7000,  1012                     |NPN Profilers               |NPN Profilers              | 1
 1013     | >750,   1013                     |RAOBs                       |RAOBs                      | 1
 1014     | <7000,  1014                     |CAP Profilers               |CAP Profilers              | 1
 1016     | <3000,  1016                     |Cities                      |Cities                     | 1
 1017     | <3000,  1017                     |County Names                |County Names               | 1
 1019     | 1019                             |Synoptic Sites              |Synoptic Sites             | 1
 1020     | 1020                             |ACARS Airports              |ACARS Airports             | 1
 1022     | <14000, 1022                     |GFS                         |GFS Model Sndg Locs        | 1
 1030     | <6000, 1030                      |Airport Locations           |Airport Locations          | 1
 1031     | <6000, 1031                      |ARTCC areas                 |ARTCC areas                | 1
 1032     | <6000, 1032                      |Fixes/Intersections         |Fixes/Intersections        | 1
 1033     | <6000, 1033                      |High Altitude Routes        |High Altitude Routes       | 1
 1034     | <6000, 1034                      |Low Altitude Routes         |Low Altitude Routes        | 1
 1035     | <6000, 1035                      |Special Use Airways         |Special Use Airways        | 1
 1036     | <14000, 1036                     |Volcano Locations           |Volcano Locations          | 1
 1037     | <6000, 1037                      |VOR Locations               |VOR Locations              | 1
 1042     | <14000, 1042                     |Interstates                 |Interstates                | 1
 1056     | <14000, 1056                     |Fine-scale Rivers           |Fine-scale Rivers          | 1
 1057     | <14000, 1057                     |Coarse-scale Rivers         |Coarse-scale Rivers        | 1
 1058     | <14000, 1058                     |River Fcst Grp Boundaries   |River Fcst Grp Boundaries  | 1
 1059     | <2000, 1059                      |River Flow Directions       |River Flow Directions      | 1
 1061     | <1200,  1061                     |Fire Wx zones               |Fire Wx zones              | 1
 1062     | <1200,  1062                     |Fire Wx stns                |Fire Wx stns               | 1
 1065     | <14000, 1065                     |TWEB routes                 |TWEBs                      | 1
 1072     | <1200, 1072                      |Range rings                 |Range rings                | 1
 1082     |   1082                           |88Ds                        |88Ds                       | 1
 1083     | <3000,  1083                     |Counties                    |Counties                   | 1
 1084     | <14000, 1084                     |CWAs                        |CWAs                       | 1
 1085     | <1200,  1085                     |Wrng Locs                   |Wrng Locs                  | 1
 1086     | <14000, 1086                     |Fixed Buoys                 |Fixed Buoys                | 1
 1087     | <14000, 1087                     |RFC boundaries              |RFC boundaries             | 1
 1088     | <3000,  1088                     |Lakes                       |Lakes                      | 1
 1101     |   1101                           |States                      |States                     | 1
 1110     | <3000,  1110                     |Coastal Zones               |Coastal Zones              | 1
 1113     | <3000,  1113                     |Marine Locations            |Marine Sites               | 1
 1120     | <3000,  1120                     |Offshore Zones              |Offshore Zones             | 1
 1130     | <3000,  1130                     |High Seas Zones             |High Seas Zones            | 1
 1133     | <1500,  1133                     |WarnGen Basins              |WarnGen basins             | 1
 1252     | <3000,  1252                     |Drainage basins             |drainage basins            | 1
 1280     | <1200,  1280                     |Spotters                    |Spotters                   | 1
 27961    | <3000, 27961                     |Spotters Readout            |Spotters Readout           | 1
 27962    | <3000, 27962                     |Office                      |Office Lsr Plot            | 0
 1300     |         1300                     |Time Zones                  |Time Zones                 | 1
 1311     |   1311                           |Map 1                       |User Shp File Map 1        | 1
 1312     |   1312                           |Map 2                       |User Shp File Map 2        | 1
 1313     |   1313                           |Map 3                       |User Shp File Map 3        | 1
 1314     |   1314                           |Map 4                       |User Shp File Map 4        | 1
 1315     |   1315                           |Map 5                       |User Shp File Map 5        | 1
 1440     |   1440, ^1                       |HiRes Topo Image            |HiRes Topo Image           | 1
 1480     |   <1200, 1480                    |Cities                      |Warngen Cities Table       | 1
 1481     |   <1200, 1481                    |Counties                    |Warngen Counties Table     | 1
 1482     |   <1200, 1482                    |Zones                       |Warngen Zones Table        | 1
 1483     |   <1200, 1483                    |CWAs                        |Warngen CWAs Table         | 1
 1487     |   <1200, 1487                    |Marine Zones                |Warngen Marine Zones       | 1
 2150     |   >700, 2150                     |150hPa                      |150mb RAOB Plot            | 0
 2200     |   >700, 2200                     |200hPa                      |200mb RAOB Plot            | 0
 2250     |   >700, 2250                     |250hPa                      |250mb RAOB Plot            | 0
 2300     |   >700, 2300                     |300hPa                      |300mb RAOB Plot            | 0
 2400     |   >700, 2400                     |400hPa                      |400mb RAOB Plot            | 0
 2500     |   >700, 2500                     |500hPa                      |500mb RAOB Plot            | 0
 2700     |   >700, 2700                     |700hPa                      |700mb RAOB Plot            | 0
 2850     |   >700, 2850                     |850hPa                      |850mb RAOB Plot            | 0
 2925     |   >700, 2925                     |925hPa                      |925mb RAOB Plot            | 0
 3000     |   <14000, >700, 3000             |Surface                     |Sfc Profiler Plot          | 0
 3001     |   <14000, >700, 3001             | 500m AGL                   | 500m AGL Profiler Plot    | 0
 3002     |   <14000, >700, 3002             | 750m AGL                   | 750m AGL Profiler Plot    | 0
 3003     |   <14000, >700, 3003             |1000m AGL                   |1000m AGL Profiler Plot    | 0
 3004     |   <14000, >700, 3004             |1250m AGL                   |1250m AGL Profiler Plot    | 0
 3005     |   <14000, >700, 3005             |1500m AGL                   |1500m AGL Profiler Plot    | 0
 3150     |   <14000, >700, 3150             |150hPa                      |150mb Profiler Plot        | 0
 3200     |   <14000, >700, 3200             |200hPa                      |200mb Profiler Plot        | 0
 3250     |   <14000, >700, 3250             |250hPa                      |250mb Profiler Plot        | 0
 3300     |   <14000, >700, 3300             |300hPa                      |300mb Profiler Plot        | 0
 3400     |   <14000, >700, 3400             |400hPa                      |400mb Profiler Plot        | 0
 3500     |   <14000, >700, 3500             |500hPa                      |500mb Profiler Plot        | 0
 3700     |   <14000, >700, 3700             |700hPa                      |700mb Profiler Plot        | 0
 3850     |   <14000, >700, 3850             |850hPa                      |850mb Profiler Plot        | 0
 3925     |   <14000, >700, 3925             |925hPa                      |925mb Profiler Plot        | 0
 3998     |   <14000, >700, 3998             |NPN perspective             |NPN Profiler Perspective   | 0
 27113    | <14000, 27113                    |100m AGL                    |100 m AGL VWP plot         | 0       
 27123    | <14000, 27123                    |250m AGL                    |250 m AGL VWP plot         | 0       
 27133    | <14000, 27133                    |500m AGL                    |500 m AGL VWP plot         | 0 
 27136    | <14000, 27136                    |750m AGL                    |750 m AGL VWP plot         | 0       
 27143    | <14000, 27143                    |1000m AGL                   |1 km AGL VWP plot          | 0       
 27146    | <14000, 27146                    |1250m AGL                   |1250 m AGL VWP plot        | 0       
 27156    | <14000, 27156                    |1500m AGL                   |1500 m AGL VWP plot        | 0       
 27153    | <14000, 27153                    |2km AGL                     |2 km AGL VWP plot          | 0       
 27163    | <14000, 27163                    |3km AGL                     |3 km AGL VWP plot          | 0       
 27173    | <14000, 27173                    |4km AGL                     |4 km AGL VWP plot          | 0       
 27183    | <14000, 27183                    |5km AGL                     |5 km AGL VWP plot          | 0       
 27115    | <14000, 27115                    |6km AGL                     |6 km AGL VWP plot          | 0       
 27125    | <14000, 27125                    |7km AGL                     |7 km AGL VWP plot          | 0       
 27135    | <14000, 27135                    |8km AGL                     |8 km AGL VWP plot          | 0       
 27145    | <14000, 27145                    |9km AGL                     |9 km AGL VWP plot          | 0       
 27155    | <14000, 27155                    |10km AGL                    |10 km AGL VWP plot         | 0       
 27165    | <14000, 27165                    |11km AGL                    |11 km AGL VWP plot         | 0       
 27175    | <14000, 27175                    |12km AGL                    |12 km AGL VWP plot         | 0       
 27185    | <14000, 27185                    |13km AGL                    |13 km AGL VWP plot         | 0       
 27116    | <14000, 27116                    |14km AGL                    |14 km AGL VWP plot         | 0       
 27126    | <14000, 27126                    |15km AGL                    |15 km AGL VWP plot         | 0       
 27114    | <14000, 27114                    |925hPa                      |925 mb VWP plot            | 0       
 27124    | <14000, 27124                    |850hPa                      |850 mb VWP plot            | 0       
 27134    | <14000, 27134                    |700hPa                      |700 mb VWP plot            | 0       
 27144    | <14000, 27144                    |500hPa                      |500 mb VWP plot            | 0       
 27154    | <14000, 27154                    |400hPa                      |400 mb VWP plot            | 0       
 27164    | <14000, 27164                    |300hPa                      |300 mb VWP plot            | 0       
 27174    | <14000, 27174                    |250hPa                      |250 mb VWP plot            | 0       
 27184    | <14000, 27184                    |200hPa                      |200 mb VWP plot            | 0       
 27198    | <14000, 27198                    |VWP perspective             |VWP perspective plot       | 0       
 4200     |   >700, 4200                     |200hPa                      |200mb Plot                 | 0
 4250     |   >700, 4250                     |250hPa                      |250mb Plot                 | 0
 4300     |   >700, 4300                     |300hPa                      |300mb Plot                 | 0
 4500     |   >700, 4500                     |500hPa                      |500mb Plot                 | 0
 4700     |   >700, 4700                     |700hPa                      |700mb Plot                 | 0
 4850     |   >700, 4850                     |850hPa                      |850mb Plot                 | 0
 25699    | 0, 25699          |NCWF     |NCWF               | 0
 10601    |   <9000, 10601    | Surface | NAM Sndg Sfc Plot | 0
 10602    |   <9000, 10602    | Surface | GFS Sndg Sfc Plot | 0
