# This file, metarStationInfo.txt, contains station information for METAR and
# SAO sites. (Some Canadian station still report in SA format. Although these
# are now converted at OSO to METAR form, we note them as SAO here.)
#
# Good sources of station information include
# FAA ASOS/AWOS: https://www.faa.gov/air_traffic/weather/asos
# AirNav, linked to the Unidata site, is excellent for U.S. sites.
# METAR & TAF  : https://metar-taf.com/country
#
# Elevations are in meters. "-0" is used to signify unknown elevation.
# Stations marked "e" at the right include guesses for some of the information.
#
# FILE UPDATED 07/16/2026
# FOR CHANGES TO THIS FILE PLEASE CONTACT
# xiaobiao.fan@noaa.gov
#
# number  |ID   |lat     |lon      |elev |station name                        |cntry|
# (10)    |(5)  |(sn2.4) |(sn3.4)  |(5)  |(36)                                |(2)  |
0000070279| 5HN | 60.2300|-146.6500|   56|Cape Hinchinbrook, AK               |US|MTR
0000070218| 5NV | 60.0100|-166.0000|   15|Nunival Island, AK                  |US|MTR
0000000000| 5TK | 65.1200|-147.4800|  197|Chatanika, AK                       |US|MTR
0000091520|AGGH | -9.4281| 160.0547|    9|Honiara Intl AP                     |SB|MTR
0000091530|ANYN | -0.5475| 166.9191|    7|Nauru Intl AP                       |NR|MTR
0000094035|AYPY | -9.4433| 147.2200|   38|Port Moresby Intl AP                |PG|MTR
0000071038|CADN | 46.5830| -66.0170|   43|Doaktown Auto RCS, NB               |CA|SAO
0000071350|CAHR | 46.3500| -63.1670|   54|Harrington CDA CS, PEI              |CA|SAO
0000000000|CANH | 46.4170| -63.0830|    3|Stanhope CS, PEI                    |CA|SAO
0000071757|CBBC | 52.1850|-128.1567|   43|Bella Bella AP, BC                  |CA|MTR
0000071590|CERM | 47.4170| -68.3240|  157|Edmunston, NB                       |CA|SAO
0000071212|CMFM | 47.3200| -71.1500|  673|Foret Montmorency, QC               |CA|SAO
0000000000|CMGB | 45.3670| -72.7670|   87|Granby, QC                          |CA|SAO
0000000000|CMHB | 45.6300| -75.2000|  105|Lochaber, QC                        |CA|SAO
0000000000|CMHN | 45.8000| -74.6500|  168|Harrington, QC                      |CA|SAO
0000000000|CMLA | 45.0700| -73.8300|   61|L'Artifice, QC                      |CA|SAO
0000071517|CPBT | 49.5670|-113.0500|  980|Blood Tribe AGDM, AB                |CA|MTR
0000000000|CPBU | 50.3300|-110.4800|  780|Bull Springs AGCM, AB               |CA|MTR
0000000000|CPCE | 51.2800|-110.8200|  753|Cereal AGCM, AB                     |CA|MTR
0000071518|CPEH | 50.1830|-112.4330|  801|Enchant AGDM, AB                    |CA|MTR
0000071535|CPFI | 49.8000|-112.0330|  833|Fincastle AGDM, AB                  |CA|MTR
0000071528|CPIR | 49.9000|-112.7330|  858|Iron Springs AGDM, AB               |CA|MTR
0000000000|CPKO | 51.1800|-113.6300|  945|Keoma AGCM, AB                      |CA|MTR
0000071204|CPMK | 49.1000|-107.0200|  830|Mankota, SK                         |CA|MTR
0000000000|CPRD | 50.8670|-114.3000| 1267|Priddis Observatory, AB             |CA|SAO
0000071537|CPRO | 50.8330|-112.0500|  714|Rosemary AGDM, AB                   |CA|MTR
0000071536|CPRY | 49.4830|-112.6830|  937|Raymond AGDM, AB                    |CA|MTR
0000071526|CPST | 51.0330|-113.2830|  967|Strathmore AGDM, AB                 |CA|MTR
0000071525|CPSV | 49.9170|-110.9170|  766|Seven Persons AGDM, AB              |CA|MTR
0000000000|CPTG | 49.5300| -96.9200|  247|Kleefield (MAFRI), MB               |CA|MTR
0000000000|CPUN | 52.4200|-105.0800|  552|Pilger, SK                          |CA|MTR
0000000000|CPXB | 50.8000|-110.6800|  723|Buffalo AGCM, AB                    |CA|MTR
0000000000|CPXC | 50.5500|-113.6300| 1019|Blackie AGCM, AB                    |CA|MTR
0000000000|CPXH | 51.4500|-112.1300|  941|Hand Hills AGCM, AB                 |CA|MTR
0000071519|CPXL | 49.8670|-111.3830|  799|Bow Is Irrigation AGDM, AB          |CA|MTR
0000071693|CPZH | 55.3000|-114.7800|  583|Slave Lake, AB                      |CA|MTR
0000071366|CTAE | 45.5500| -74.8830|   57|Alfred, ON                          |CA|MTR
0000071393|CTAL | 45.3170| -74.6170|   77|Alexandria, ON                      |CA|MTR
0000071304|CTCK | 45.2500| -74.9670|   85|Moose Creek, ON                     |CA|MTR
