#name|wmoID| lat |  lon  |ht(m)
ASTC1|74997|46.16|-123.88|   3
BIDR1|74973|41.17| -71.58|  35
BGDC1|74996|38.32|-123.07|  13
CFDU1|74981|40.18|-112.89|1320
CTDA1|74986|34.66| -87.35| 187
FKSC1|74995|47.97|-124.40|  92
NPSC1|74990|36.69|-121.76|  51
FPDU1|74983|40.21|-112.78|1469
HGDU1|74972|40.20|-113.17|1299
ACVC1|74998|40.97|-124.11|  56
NTEM3|74974|41.25| -70.11|   5
OTHC1|74994|43.42|-124.24|   5
OVEC1|74988|39.51|-121.63|  56
PTSC1|74993|36.30|-121.89|  11
SBAC1|74992|34.43|-119.85|   4
STFM6|74975|33.43| -88.85| 101
DGWU1|74982|40.11|-112.98|1313
TCIC1|74987|38.10|-121.65|   0
