! GRIB2  - NCEP Local Parameter Table
!
! temperature
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 000 000 000 Temperature                      K                    TMP              0  -9999.00
000 000 000 001 Temperature                      K                    TMP              0  -9999.00
000 000 000 002 Temperature                      K                    TMP              0  -9999.00
000 000 000 005 Temperature                      K                    TMP              0  -9999.00
000 000 002 000 Virtual Temperature              K                    VTMP             0  -9999.00
000 000 003 000 Pseudo-Adiabat or Equiv Pot Temp K                    VTMP             0  -9999.00
000 000 004 000 Maximum Temperature              K                    TMAX             0  -9999.00
000 000 004 008 Maximum Temperature              K                    TMAX             0  -9999.00
000 000 005 000 Minimum Temperature              K                    TMIN             0  -9999.00
000 000 005 008 Minimum Temperature              K                    TMIN             0  -9999.00
000 000 006 000 Dew Point Temperature            K                    DPT              0  -9999.00
000 000 006 002 Dew Point Temperature            K                    DPT              0  -9999.00
000 000 006 005 Dew Point Temperature            K                    DPT              0  -9999.00
!
000 000 192 000 Snow Phase Change Heat Flux      W m**-2              FXSN             0  -9999.00
000 000 192 008 Snow Phase Change Heat Flux      W m**-2              FXSN             0  -9999.00
000 000 193 000 Temperature tend by all rad      K s**-1              TTRAD            0  -9999.00
000 000 195 000 Large Scale Cond. Heating Rate   K s**-1              LRGHR            0  -9999.00
000 000 195 008 Large Scale Cond. Heating Rate   K s**-1              LRGHR            0  -9999.00
000 000 196 000 Deep Convective Heating Rate     K s**-1              CNVHR            0  -9999.00
000 000 196 008 Deep Convective Heating Rate     K s**-1              CNVHR            0  -9999.00
!
! moisture
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 001 000 000 Specific Humidity                kg kg**-1            SPFH             0  -9999.00
000 001 001 000 Relative Humidity                %                    RH               0  -9999.00
000 001 001 002 Relative Humidity                %                    RH               0  -9999.00
000 001 003 000 Precipitable Water               kg m**-2             PWAT             0  -9999.00
000 001 003 002 Precipitable Water               kg m**-2             PWAT             0  -9999.00
000 001 003 005 Precipitable Water               kg m**-2             PWAT             0  -9999.00
000 001 007 000 Precipitation Rate               kg m**-2 s**-1       PRATE            0  -9999.00
000 001 008 008 Total Precipitation              kg m**-2             APCP             0  -9999.00
000 001 008 009 Total Precipitation              kg m**-2             APCP             0  -9999.00
000 001 008 010 Total Precipitation              kg m**-2             APCP             0  -9999.00
000 001 008 011 Total Precipitation              kg m**-2             APCP             0  -9999.00
000 001 008 012 Total Precipitation              kg m**-2             APCP             0  -9999.00
000 001 009 008 Large-Scale Precip (non-conv)    kg m**-2             NCPCP            0  -9999.00
000 001 010 000 Convective Precipitation         kg m**-2             ACPCP            0  -9999.00
000 001 010 008 Convective Precipitation         kg m**-2             ACPCP            0  -9999.00
000 001 011 000 Snow Depth                       m                    SNOD             0  -9999.00
000 001 011 008 Snow Depth                       m                    SNOD             0  -9999.00
000 001 013 000 Water Eqiv Accum Snow Depth      kg m**-2             WEASD            0  -9999.00
000 001 013 008 Water Eqiv Accum Snow Depth      kg m**-2             WEASD            0  -9999.00
000 001 013 009 Water Eqiv Accum Snow Depth      kg m**-2             WEASD            0  -9999.00
000 001 013 012 Water Eqiv Accum Snow Depth      kg m**-2             WEASD            0  -9999.00
000 001 015 009 Large-Scale Snow                 kg m**-2             SNOL             0  -9999.00
000 001 015 012 Large-Scale Snow                 kg m**-2             SNOL             0  -9999.00
000 001 027 000 Maximum Relative Humidity        %                    MAXRH            0  -9999.00
000 001 027 008 Maximum Relative Humidity        %                    MAXRH            0  -9999.00
000 001 028 000 Maximum Absolute Humidity        kg m**-3             MAXAH            0  -9999.00
000 001 028 008 Maximum Absolute Humidity        kg m**-3             MAXAH            0  -9999.00
000 001 029 008 Total Snowfall                   m                    ASNOW            0  -9999.00
000 001 029 009 Total Snowfall                   m                    ASNOW            0  -9999.00
000 001 029 010 Total Snowfall                   m                    ASNOW            0  -9999.00
000 001 029 012 Total Snowfall                   m                    ASNOW            0  -9999.00
!
000 001 033 000 Categorical Rain                 0,1                  CRAIN            0  -9999.00
000 001 034 000 Categorical Freezing Rain        0,1                  CFRZR            0  -9999.00
000 001 035 000 Categorical Ice Pellets          0,1                  CICEP            0  -9999.00
000 001 036 000 Categorical Snow                 0,1                  CSNOW            0  -9999.00
000 001 039 000 Percent frozen precipitation     %                    CPOFP            0  -9999.00
000 001 053 009 Total Snowfall Rate Water Equiv  kg m**-2 s-1         TSRWE            0  -9999.00
000 001 074 000 Total Colun Integrate Graupel    kg m**-2             TCOLG            0  -9999.00
000 001 074 008 Total Colun Integrate Graupel    kg m**-2             TCOLG            0  -9999.00
!
000 001 192 000 Categorical rain                 0,1                  WXTR             0  -9999.00
000 001 192 001 Categorical rain                 0,1                  WXTR             0  -9999.00
000 001 192 002 Categorical rain                 0,1                  WXTR             0  -9999.00
000 001 192 005 Categorical rain                 0,1                  WXTR             0  -9999.00
000 001 192 008 Categorical rain                 0,1                  WXTR             0  -9999.00
000 001 192 011 Categorical rain                 0,1                  WXTR             0  -9999.00
000 001 192 012 Categorical rain                 0,1                  WXTR             0  -9999.00
000 001 193 000 Categorical freezing rain        0,1                  WXTZ             0  -9999.00
000 001 193 001 Categorical freezing rain        0,1                  WXTZ             0  -9999.00
000 001 193 002 Categorical freezing rain        0,1                  WXTZ             0  -9999.00
000 001 193 005 Categorical freezing rain        0,1                  WXTZ             0  -9999.00
000 001 193 008 Categorical freezing rain        0,1                  WXTZ             0  -9999.00
000 001 193 011 Categorical freezing rain        0,1                  WXTZ             0  -9999.00
000 001 193 012 Categorical freezing rain        0,1                  WXTZ             0  -9999.00
000 001 194 000 Categorical ice pellets          0,1                  WXTP             0  -9999.00
000 001 194 001 Categorical ice pellets          0,1                  WXTP             0  -9999.00
000 001 194 002 Categorical ice pellets          0,1                  WXTP             0  -9999.00
000 001 194 005 Categorical ice pellets          0,1                  WXTP             0  -9999.00
000 001 194 008 Categorical ice pellets          0,1                  WXTP             0  -9999.00
000 001 194 011 Categorical ice pellets          0,1                  WXTP             0  -9999.00
000 001 194 012 Categorical ice pellets          0,1                  WXTP             0  -9999.00
000 001 195 000 Categorical snow                 0,1                  WXTS             0  -9999.00
