! GRIB2  - WMO Parameter Table
!
! temperature
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 000 000 000 Temperature                      K                    TMPK             0  -9999.00
000 000 000 001 Temperature                      K                    TMPK             0  -9999.00
000 000 000 002 Temperature                      K                    TMPK             0  -9999.00
000 000 000 005 Temperature                      K                    TMPK             0  -9999.00
000 000 000 006 Temperature                      K                    TMPK             0  -9999.00
000 000 000 008 Temperature                      K                    TMPK             0  -9999.00
000 000 000 009 Temperature                      K                    TMPK             0  -9999.00
000 000 000 010 Temperature                      K                    TMPK             0  -9999.00
000 000 000 011 Temperature                      K                    TMPK             0  -9999.00
000 000 000 019 Temperature Below Normal         %                    PTBN             0  -9999.00
000 000 000 029 Temperature Near Normal          %                    PTNN             0  -9999.00
000 000 000 039 Temperature Above Normal         %                    PTAN             0  -9999.00
000 000 001 000 Virtual Temperature              K                    TVRK             0  -9999.00
000 000 002 000 Potential Temperature            K                    THTA             0  -9999.00
000 000 002 001 Potential Temperature            K                    THTA             0  -9999.00
000 000 002 011 Potential Temperature            K                    THTA             0  -9999.00
000 000 003 000 Equivalent Potential Temp        K                    THTE             0  -9999.00
000 000 004 000 Maximum Temperature              K                    TMXK             0  -9999.00
000 000 004 001 Maximum Temperature              K                    TMXK             0  -9999.00
000 000 004 008 Maximum Temperature              K                    TMXK             0  -9999.00
000 000 004 011 Maximum Temperature              K                    TMXK             0  -9999.00
000 000 004 012 Maximum Temperature              K                    TMXK             0  -9999.00
000 000 005 000 Minimum Temperature              K                    TMNK             0  -9999.00
000 000 005 001 Minimum Temperature              K                    TMNK             0  -9999.00
000 000 005 008 Minimum Temperature              K                    TMNK             0  -9999.00
000 000 005 011 Minimum Temperature              K                    TMNK             0  -9999.00
000 000 005 012 Minimum Temperature              K                    TMNK             0  -9999.00
000 000 006 000 Dew Point Temperature            K                    DWPK             0  -9999.00
000 000 006 001 Dew Point Temperature            K                    DWPK             0  -9999.00
000 000 006 002 Dew Point Temperature            K                    DWPK             0  -9999.00
000 000 006 011 Dew Point Temperature            K                    DWPK             0  -9999.00
000 000 007 000 Dew Point Depression             K                    DPDK             0  -9999.00
000 000 008 000 Lapse Rate                       K m**-1              LAPS             0  -9999.00
000 000 009 000 Temperature Anomaly              K                    TMPKA            0  -9999.00
000 000 010 000 Latent Heat Net Flux             W m**-2              FXLH             0  -9999.00
000 000 010 001 Latent Heat Net Flux             W m**-2              FXLH             0  -9999.00
000 000 010 008 Latent Heat Net Flux             W m**-2              FXLH             0  -9999.00
000 000 010 011 Latent Heat Net Flux             W m**-2              FXLH             0  -9999.00
000 000 010 012 Latent Heat Net Flux             W m**-2              FXLH             0  -9999.00
000 000 011 000 Sensible Heat Net Flux           W m**-2              FXSH             0  -9999.00
000 000 011 001 Sensible Heat Net Flux           W m**-2              FXSH             0  -9999.00
000 000 011 008 Sensible Heat Net Flux           W m**-2              FXSH             0  -9999.00
000 000 011 011 Sensible Heat Net Flux           W m**-2              FXSH             0  -9999.00
000 000 011 012 Sensible Heat Net Flux           W m**-2              FXSH             0  -9999.00
000 000 012 000 Heat Index                       K                    HEAT             0  -9999.00
000 000 013 000 Wind Chill Factor                K                    WCF              0  -9999.00
000 000 014 000 Minimum Dew Point Depression     K                    MINDPD           0  -9999.00
000 000 015 000 Virtual Potential Temperature    K                    THTV             0  -9999.00
000 000 016 000 Snow Phase Change Heat Flux      W m**-2              SNOHF            0  -9999.00
000 000 017 000 Skin Temperature                 K                    SKTMP            0  -9999.00
